    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.694	 DELIVER	     1 	   2.78 	   7.62 	      0 	      0 	      0 
   10.700	 DELIVER	     2 	   1.74 	   5.65 	      0 	      0 	      0 
   11.628	 DELIVER	     3 	   2.64 	   7.59 	      0 	      0 	      0 
   11.769	 DELIVER	     4 	  0.778 	   5.22 	      0 	      0 	      0 
   12.902	 DELIVER	     5 	   0.75 	   4.45 	      0 	      0 	      0 
   16.335	 DELIVER	     6 	   1.72 	   8.45 	      0 	      0 	      0 
   23.875	 DELIVER	     7 	   1.88 	   7.95 	      0 	      0 	      0 
   24.394	 DELIVER	     8 	   1.97 	   6.41 	      0 	      0 	      0 
   24.778	 DELIVER	     9 	   2.59 	   7.72 	      0 	      0 	      0 
   26.171	 DELIVER	    10 	   2.59 	    8.1 	      0 	      0 	      0 
   26.571	 DELIVER	    11 	  0.808 	   4.22 	      0 	      0 	      0 
   27.853	 DELIVER	    12 	  0.649 	   5.43 	      0 	      0 	      0 
   29.691	 DELIVER	    13 	   1.45 	   7.01 	      0 	      0 	      0 
   31.612	 DELIVER	    14 	   2.79 	   7.75 	      0 	      0 	      0 
   33.460	 DELIVER	    15 	   2.68 	   8.66 	      0 	      0 	      0 
   36.605	 DELIVER	    16 	    2.8 	   6.52 	      0 	      0 	      0 
   37.171	 DELIVER	    17 	   2.24 	   5.77 	      0 	      0 	      0 
   39.739	 DELIVER	    18 	  0.539 	   3.61 	      0 	      0 	      0 
   45.615	 DELIVER	    19 	  0.456 	   7.94 	      0 	      0 	      0 
   46.208	 DELIVER	    20 	  0.567 	    5.6 	      0 	      0 	      0 
   48.003	 DELIVER	    21 	  0.367 	   5.57 	      0 	      0 	      0 
   52.980	 DELIVER	    22 	   1.87 	   6.24 	      0 	      0 	      0 
   57.007	 DELIVER	    23 	   2.37 	    8.3 	      0 	      0 	      0 
   60.395	 DELIVER	    24 	   1.25 	   4.69 	      0 	      0 	      0 
   60.484	 DELIVER	    25 	   1.68 	   7.53 	      0 	      0 	      0 
   61.964	 DELIVER	    26 	   2.11 	   8.28 	      0 	      0 	      0 
   63.396	 DELIVER	    27 	   2.61 	   8.79 	      0 	      0 	      0 
   64.313	 DELIVER	    28 	  0.894 	   6.59 	      0 	      0 	   1.43 
   64.539	 DELIVER	    29 	   1.47 	   8.23 	      0 	      0 	  0.643 
   64.671	 DELIVER	    30 	   1.85 	   6.25 	      0 	      0 	   1.21 
   64.898	 DELIVER	    31 	   2.82 	   8.83 	      0 	      0 	      0 
   66.744	 DELIVER	    32 	  0.894 	   60.2 	      0 	      0 	   1.43 
   67.278	 DELIVER	    33 	   1.85 	     61 	      0 	      0 	   1.21 
   68.799	 DELIVER	    34 	   1.94 	   12.5 	      0 	      0 	  0.885 
   68.822	 DELIVER	    35 	    2.1 	   9.49 	      0 	      0 	  0.711 
   69.183	 DELIVER	    36 	   2.62 	   9.81 	      0 	      0 	   1.32 
   69.636	 DELIVER	    37 	   2.82 	   8.23 	      0 	      0 	  0.733 
   70.043	 DELIVER	    38 	   1.86 	   10.3 	      0 	      0 	   1.77 
   70.680	 DELIVER	    39 	   2.35 	    7.8 	      0 	      0 	  0.457 
   70.833	 DELIVER	    40 	   1.15 	   8.89 	      0 	      0 	   1.37 
   72.064	 DELIVER	    41 	  0.556 	   8.58 	      0 	      0 	   1.48 
   72.656	 DELIVER	    42 	  0.727 	   9.18 	      0 	      0 	  0.984 
   73.385	 DELIVER	    43 	   2.27 	   9.69 	      0 	      0 	   1.49 
   73.954	 DELIVER	    44 	  0.767 	    5.9 	      0 	      0 	      0 
   74.810	 DELIVER	    45 	   2.53 	   6.71 	      0 	      0 	      0 
   75.650	 DELIVER	    46 	   2.08 	   10.2 	      0 	      0 	 0.0679 
   76.440	 DELIVER	    47 	   2.05 	   8.37 	      0 	      0 	      0 
   76.858	 DELIVER	    48 	   2.89 	   8.49 	      0 	      0 	   1.74 
   77.719	 DELIVER	    49 	    2.9 	   9.43 	      0 	      0 	  0.534 
   77.967	 DELIVER	    50 	   2.78 	   7.05 	      0 	      0 	      0 
   78.350	 DELIVER	    51 	   2.91 	   7.21 	      0 	      0 	  0.581 
   78.768	 DELIVER	    52 	   0.98 	   7.35 	      0 	      0 	   1.58 
   80.462	 DELIVER	    53 	  0.393 	   5.14 	      0 	      0 	      0 
   81.270	 DELIVER	    54 	   2.83 	   8.39 	      0 	      0 	  0.823 
   82.792	 DELIVER	    55 	   1.35 	   6.42 	      0 	      0 	   1.52 
   83.112	 DELIVER	    56 	   1.45 	   6.88 	      0 	      0 	   0.44 
   84.578	 DELIVER	    57 	   2.97 	   9.65 	      0 	      0 	      0 
   86.394	 DELIVER	    58 	  0.609 	   10.3 	      0 	      0 	      0 
   86.496	 DELIVER	    59 	   2.18 	   9.27 	      0 	      0 	  0.902 
   86.866	 DELIVER	    60 	   2.49 	   10.7 	      0 	      0 	   0.35 
   87.843	 DELIVER	    61 	  0.684 	   4.38 	      0 	      0 	      0 
   87.866	 DELIVER	    62 	   2.36 	   7.56 	      0 	      0 	      0 
   88.423	 DELIVER	    63 	   2.65 	   10.9 	      0 	      0 	   1.49 
   89.118	 DELIVER	    64 	   2.78 	   9.31 	      0 	      0 	      0 
   89.181	 DELIVER	    65 	   1.59 	   7.93 	      0 	      0 	  0.419 
   91.281	 DELIVER	    66 	  0.444 	   6.02 	      0 	      0 	      0 
   94.813	 DELIVER	    67 	   2.73 	   9.02 	      0 	      0 	      0 
   97.471	 DELIVER	    68 	  0.998 	    8.2 	      0 	      0 	      0 
   98.863	 DELIVER	    69 	  0.892 	   8.53 	      0 	      0 	      0 
  105.682	 DELIVER	    70 	    2.2 	   8.84 	      0 	      0 	      0 
  106.227	 DELIVER	    71 	   1.59 	   7.92 	      0 	      0 	      0 
  108.314	 DELIVER	    72 	      2 	   8.39 	      0 	      0 	      0 
  108.880	 DELIVER	    73 	    2.7 	   7.85 	      0 	      0 	      0 
  112.545	 DELIVER	    74 	   2.67 	   9.46 	      0 	      0 	      0 
  120.055	 DELIVER	    75 	  0.956 	   5.89 	      0 	      0 	      0 
  121.412	 DELIVER	    76 	   1.38 	   6.98 	      0 	      0 	      0 
  122.544	 DELIVER	    77 	   2.45 	   7.98 	      0 	  0.534 	      0 
  122.663	 DELIVER	    78 	   2.23 	   7.98 	      0 	  0.534 	  0.444 
  125.783	 DELIVER	    79 	   2.83 	   10.2 	      0 	  0.534 	  0.217 
  126.311	 DELIVER	    80 	   2.49 	   9.63 	      0 	  0.534 	  0.673 
  126.642	 DELIVER	    81 	    2.9 	   10.3 	      0 	  0.534 	  0.641 
  127.044	 DELIVER	    82 	      3 	   10.1 	      0 	   4.96 	   1.71 
  127.112	 DELIVER	    83 	   2.48 	   9.89 	      0 	   4.96 	   2.62 
  128.627	 DELIVER	    84 	   2.38 	   9.57 	      0 	   6.45 	  0.851 
  129.610	 DELIVER	    85 	   1.83 	   7.92 	      0 	   6.45 	  0.628 
  129.794	 DELIVER	    86 	   2.46 	   10.6 	      0 	   6.45 	   2.41 
  134.545	 DELIVER	    87 	    2.2 	   13.7 	      0 	   6.45 	   1.47 
  134.859	 DELIVER	    88 	   1.39 	   13.1 	      0 	   6.45 	   2.36 
  135.923	 DELIVER	    89 	   1.89 	   13.7 	      0 	   6.45 	   2.28 
  136.446	 DELIVER	    90 	   1.89 	    123 	      0 	   6.45 	   2.28 
  137.377	 DELIVER	    91 	  0.843 	     15 	      0 	   6.45 	   3.16 
  137.437	 DELIVER	    92 	   2.23 	   13.7 	      0 	   6.45 	   2.68 
  137.480	 DELIVER	    93 	   1.92 	   13.7 	      0 	   6.45 	   3.03 
