    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.246	 DELIVER	     1 	   1.87 	   7.22 	      0 	      0 	      0 
    8.545	 DELIVER	     2 	   1.36 	   4.75 	      0 	      0 	      0 
   13.362	 DELIVER	     3 	  0.455 	    4.2 	      0 	      0 	      0 
   18.480	 DELIVER	     4 	  0.787 	   5.48 	      0 	      0 	      0 
   22.769	 DELIVER	     5 	   1.66 	   7.81 	      0 	      0 	      0 
   23.450	 DELIVER	     6 	   1.18 	   7.12 	      0 	      0 	      0 
   24.428	 DELIVER	     7 	   2.02 	   7.25 	      0 	      0 	      0 
   25.397	 DELIVER	     8 	   1.95 	   7.92 	      0 	      0 	      0 
   25.594	 DELIVER	     9 	   1.25 	    6.7 	      0 	      0 	      0 
   26.723	 DELIVER	    10 	    1.5 	   6.04 	      0 	      0 	      0 
   29.680	 DELIVER	    11 	   1.25 	   6.95 	      0 	      0 	      0 
   37.399	 DELIVER	    12 	   2.84 	   7.15 	      0 	      0 	      0 
   37.610	 DELIVER	    13 	   2.28 	   8.32 	      0 	      0 	      0 
   43.958	 DELIVER	    14 	   1.07 	   7.82 	      0 	      0 	      0 
   44.825	 DELIVER	    15 	  0.481 	   6.91 	      0 	      0 	      0 
   45.715	 DELIVER	    16 	   1.58 	   7.58 	      0 	      0 	      0 
   47.618	 DELIVER	    17 	  0.605 	   5.07 	      0 	      0 	      0 
   49.259	 DELIVER	    18 	   0.55 	   5.78 	      0 	      0 	      0 
   50.624	 DELIVER	    19 	   2.66 	   8.52 	      0 	      0 	      0 
   54.263	 DELIVER	    20 	  0.714 	   6.98 	      0 	      0 	      0 
   59.687	 DELIVER	    21 	   2.79 	   7.61 	      0 	   1.45 	      0 
   59.801	 DELIVER	    22 	    1.9 	   8.87 	      0 	   1.45 	      0 
   60.999	 DELIVER	    23 	    1.4 	   6.31 	      0 	   1.45 	      0 
   61.136	 DELIVER	    24 	   2.13 	   7.84 	      0 	   1.45 	      0 
   61.385	 DELIVER	    25 	  0.854 	   4.55 	      0 	   1.45 	  0.104 
   62.461	 DELIVER	    26 	   1.33 	   6.79 	      0 	   1.45 	      0 
   62.553	 DELIVER	    27 	  0.941 	   6.55 	      0 	   1.45 	      0 
   64.428	 DELIVER	    28 	   1.06 	   7.49 	      0 	   1.45 	  0.858 
   64.622	 DELIVER	    29 	   1.06 	   57.1 	      0 	   1.45 	  0.858 
   64.936	 DELIVER	    30 	   1.24 	   7.77 	      0 	   1.45 	    1.7 
   65.007	 DELIVER	    31 	   2.29 	   7.56 	      0 	   1.45 	   1.84 
   65.813	 DELIVER	    32 	    2.4 	   8.96 	      0 	   1.45 	   0.14 
   66.859	 DELIVER	    33 	   2.29 	   59.3 	      0 	   1.45 	   1.84 
   67.303	 DELIVER	    34 	   2.77 	   9.09 	      0 	   1.45 	   1.61 
   67.310	 DELIVER	    35 	   1.01 	   8.46 	      0 	   1.45 	   2.72 
   67.779	 DELIVER	    36 	  0.867 	   7.64 	      0 	   1.45 	   2.44 
   68.069	 DELIVER	    37 	   1.31 	   6.78 	      0 	   1.45 	   1.31 
   68.516	 DELIVER	    38 	    2.6 	   10.3 	      0 	   1.45 	   1.85 
   69.786	 DELIVER	    39 	   1.31 	     63 	      0 	   1.45 	   1.31 
