    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	  0.842 	   7.25 	      0 	      0 
    8.108	 DELIVER	     1 	   2.05 	   8.07 	      0 	      0 
    9.886	 DELIVER	     2 	   2.68 	   7.04 	      0 	      0 
   11.701	 DELIVER	     3 	  0.751 	    6.9 	      0 	      0 
   16.844	 DELIVER	     4 	   1.16 	   7.92 	      0 	      0 
   19.990	 DELIVER	     5 	   1.34 	   5.09 	      0 	      0 
   23.240	 DELIVER	     6 	   2.24 	   8.83 	      0 	      0 
   23.818	 DELIVER	     7 	    2.9 	   7.15 	      0 	      0 
   29.712	 DELIVER	     8 	   1.79 	   8.16 	      0 	      0 
   32.454	 DELIVER	     9 	   2.99 	   6.33 	      0 	      0 
   38.203	 DELIVER	    10 	  0.886 	   6.08 	      0 	      0 
   38.533	 DELIVER	    11 	  0.987 	   6.97 	      0 	      0 
   38.668	 DELIVER	    12 	   2.41 	    6.4 	      0 	      0 
   39.845	 DELIVER	    13 	  0.629 	   4.99 	      0 	      0 
   47.065	 DELIVER	    14 	   2.33 	   6.74 	      0 	      0 
   54.754	 DELIVER	    15 	  0.804 	   5.37 	      0 	      0 
   55.773	 DELIVER	    16 	   1.45 	      5 	      0 	      0 
   57.116	 DELIVER	    17 	   2.46 	   9.57 	      0 	      0 
   60.755	 DELIVER	    18 	  0.724 	   5.61 	      0 	      0 
   60.908	 DELIVER	    19 	  0.944 	   4.55 	      0 	      0 
   62.098	 DELIVER	    20 	   1.16 	   6.37 	      0 	      0 
   62.146	 DELIVER	    21 	  0.552 	   4.47 	      0 	      0 
   62.267	 DELIVER	    22 	   2.71 	    8.6 	      0 	      0 
   62.617	 DELIVER	    23 	   1.34 	   5.44 	      0 	      0 
   63.257	 DELIVER	    24 	   2.38 	   7.51 	      0 	      0 
   63.948	 DELIVER	    25 	   1.13 	   4.88 	      0 	      0 
   66.197	 DELIVER	    26 	   2.48 	   8.33 	      0 	      0 
   66.213	 DELIVER	    27 	   1.09 	   4.76 	      0 	      0 
   66.672	 DELIVER	    28 	   1.86 	    5.8 	      0 	      0 
   68.026	 DELIVER	    29 	  0.741 	   6.28 	      0 	      0 
   69.582	 DELIVER	    30 	  0.672 	   8.01 	      0 	      0 
   70.262	 DELIVER	    31 	   2.53 	   6.37 	      0 	      0 
   72.674	 DELIVER	    32 	   1.17 	   6.24 	      0 	      0 
   74.473	 DELIVER	    33 	   2.48 	   7.77 	      0 	      0 
   74.999	 DELIVER	    34 	   2.94 	   6.65 	      0 	      0 
   76.220	 DELIVER	    35 	  0.759 	   6.72 	      0 	      0 
   76.711	 DELIVER	    36 	   1.05 	   7.05 	      0 	      0 
   78.584	 DELIVER	    37 	   1.39 	   6.58 	      0 	      0 
   79.184	 DELIVER	    38 	   2.99 	    7.6 	      0 	      0 
   79.461	 DELIVER	    39 	   2.98 	   7.56 	      0 	      0 
   81.236	 DELIVER	    40 	   1.18 	   8.66 	      0 	      0 
   81.369	 DELIVER	    41 	  0.466 	   5.51 	      0 	      0 
   81.746	 DELIVER	    42 	   1.15 	    9.6 	      0 	      0 
   82.574	 DELIVER	    43 	  0.492 	   4.33 	      0 	      0 
   82.921	 DELIVER	    44 	   1.33 	   5.71 	      0 	      0 
   85.221	 DELIVER	    45 	   2.81 	   9.01 	      0 	      0 
   85.334	 DELIVER	    46 	   2.31 	   5.88 	      0 	      0 
