    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    8.499	 DELIVER	     1 	   2.27 	   7.21 	      0 	      0 	      0 
    9.100	 DELIVER	     2 	   2.38 	   9.08 	      0 	      0 	      0 
   10.843	 DELIVER	     3 	   1.22 	   6.51 	      0 	      0 	      0 
   14.196	 DELIVER	     4 	   1.54 	    4.8 	      0 	      0 	      0 
   22.511	 DELIVER	     5 	   2.07 	      6 	      0 	      0 	      0 
   25.541	 DELIVER	     6 	  0.938 	   4.31 	      0 	      0 	      0 
   26.131	 DELIVER	     7 	   1.31 	   6.85 	      0 	      0 	      0 
   27.755	 DELIVER	     8 	   1.02 	   5.41 	      0 	      0 	      0 
   28.431	 DELIVER	     9 	  0.408 	      5 	      0 	      0 	      0 
   29.315	 DELIVER	    10 	   1.08 	    6.5 	      0 	      0 	      0 
   30.018	 DELIVER	    11 	  0.832 	   5.25 	      0 	      0 	      0 
   31.396	 DELIVER	    12 	   1.94 	   5.01 	      0 	      0 	      0 
   31.627	 DELIVER	    13 	   2.22 	    8.5 	      0 	      0 	      0 
   41.805	 DELIVER	    14 	   1.27 	   5.53 	      0 	      0 	      0 
   42.934	 DELIVER	    15 	   2.75 	   8.71 	      0 	      0 	      0 
   43.946	 DELIVER	    16 	  0.475 	   5.99 	      0 	      0 	      0 
   44.937	 DELIVER	    17 	    1.9 	   6.98 	      0 	      0 	      0 
   46.463	 DELIVER	    18 	    2.3 	      7 	      0 	      0 	      0 
   51.391	 DELIVER	    19 	  0.418 	   6.79 	      0 	      0 	      0 
   51.608	 DELIVER	    20 	   2.62 	   7.82 	      0 	      0 	      0 
   54.429	 DELIVER	    21 	  0.721 	   5.97 	      0 	      0 	      0 
   57.959	 DELIVER	    22 	  0.966 	   5.98 	      0 	      0 	      0 
   58.414	 DELIVER	    23 	  0.488 	   5.21 	      0 	      0 	      0 
   59.434	 DELIVER	    24 	   1.83 	   8.05 	      0 	      0 	      0 
   59.703	 DELIVER	    25 	   2.83 	   6.98 	      0 	      0 	      0 
   60.728	 DELIVER	    26 	  0.567 	   4.51 	      0 	      0 	      0 
