    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.489	 DELIVER	     1 	   2.26 	   7.41 	      0 	      0 	      0 
    7.887	 DELIVER	     2 	   1.61 	   7.32 	      0 	      0 	      0 
    9.438	 DELIVER	     3 	   2.34 	   8.67 	      0 	      0 	      0 
    9.559	 DELIVER	     4 	   2.15 	   7.25 	      0 	      0 	 0.0303 
    9.939	 DELIVER	     5 	   2.39 	   8.36 	      0 	      0 	  0.604 
   11.735	 DELIVER	     6 	   2.45 	   9.31 	      0 	      0 	  0.687 
   14.686	 DELIVER	     7 	   1.12 	   5.51 	      0 	      0 	      0 
   14.735	 DELIVER	     8 	   1.31 	   6.26 	      0 	      0 	      0 
   19.620	 DELIVER	     9 	  0.691 	   5.25 	      0 	      0 	      0 
   23.464	 DELIVER	    10 	   1.84 	   7.54 	      0 	      0 	      0 
   24.428	 DELIVER	    11 	   2.13 	    5.6 	      0 	      0 	      0 
   25.722	 DELIVER	    12 	   2.37 	   7.15 	      0 	      0 	      0 
   27.847	 DELIVER	    13 	  0.878 	   7.13 	      0 	      0 	      0 
   33.167	 DELIVER	    14 	   1.91 	   8.76 	      0 	      0 	      0 
   33.817	 DELIVER	    15 	  0.817 	   5.75 	      0 	      0 	      0 
   36.805	 DELIVER	    16 	   1.06 	   7.67 	      0 	      0 	      0 
   37.480	 DELIVER	    17 	   2.49 	   8.46 	      0 	      0 	      0 
   39.489	 DELIVER	    18 	   1.67 	   8.16 	      0 	      0 	      0 
   41.826	 DELIVER	    19 	    2.9 	   8.33 	      0 	      0 	      0 
   42.330	 DELIVER	    20 	  0.989 	    5.2 	      0 	      0 	      0 
   45.009	 DELIVER	    21 	  0.778 	   6.62 	      0 	      0 	      0 
   46.473	 DELIVER	    22 	   1.88 	   7.43 	      0 	      0 	      0 
   50.244	 DELIVER	    23 	   1.53 	   9.26 	      0 	      0 	      0 
