    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    5.431	 DELIVER	     1 	  0.961 	   5.43 	      0 	      0 	      0 
    6.902	 DELIVER	     2 	   0.61 	   5.33 	      0 	      0 	      0 
    8.696	 DELIVER	     3 	   1.91 	   8.03 	      0 	      0 	      0 
    9.259	 DELIVER	     4 	  0.718 	   6.57 	      0 	      0 	      0 
   18.193	 DELIVER	     5 	    1.4 	   9.72 	      0 	      0 	      0 
   23.696	 DELIVER	     6 	   2.68 	   7.08 	      0 	      0 	      0 
   25.219	 DELIVER	     7 	  0.613 	   4.95 	      0 	      0 	      0 
   25.525	 DELIVER	     8 	   1.64 	   6.68 	      0 	      0 	      0 
   25.602	 DELIVER	     9 	  0.613 	   20.7 	      0 	      0 	      0 
   28.219	 DELIVER	    10 	  0.374 	   4.22 	      0 	      0 	      0 
   28.870	 DELIVER	    11 	   2.99 	   6.29 	      0 	      0 	      0 
   33.269	 DELIVER	    12 	   2.36 	   6.58 	      0 	      0 	      0 
   38.185	 DELIVER	    13 	   1.41 	   7.94 	      0 	      0 	      0 
   40.882	 DELIVER	    14 	   1.79 	   6.66 	      0 	      0 	      0 
   41.448	 DELIVER	    15 	   1.05 	   6.88 	      0 	      0 	      0 
   42.844	 DELIVER	    16 	   1.32 	   7.94 	      0 	      0 	   0.71 
   43.880	 DELIVER	    17 	   2.97 	   10.1 	      0 	      0 	      0 
   45.469	 DELIVER	    18 	   2.72 	   10.2 	      0 	      0 	   0.74 
   47.674	 DELIVER	    19 	   2.92 	    8.9 	      0 	      0 	      0 
   49.241	 DELIVER	    20 	    2.6 	   8.78 	      0 	      0 	      0 
   52.192	 DELIVER	    21 	    2.3 	    6.6 	      0 	      0 	      0 
   57.768	 DELIVER	    22 	   2.52 	    7.5 	      0 	  0.202 	      0 
   57.968	 DELIVER	    23 	    1.8 	   7.59 	      0 	  0.202 	      0 
   58.144	 DELIVER	    24 	   2.98 	   7.37 	      0 	  0.202 	      0 
   59.091	 DELIVER	    25 	   1.91 	   7.52 	      0 	  0.202 	   1.22 
   60.674	 DELIVER	    26 	   1.14 	   7.58 	      0 	  0.202 	    1.6 
   60.914	 DELIVER	    27 	   2.87 	   8.44 	      0 	  0.202 	  0.527 
   62.900	 DELIVER	    28 	   1.07 	   10.3 	      0 	  0.202 	   1.14 
   64.243	 DELIVER	    29 	   1.14 	   56.7 	      0 	  0.202 	    1.6 
   67.450	 DELIVER	    30 	   1.57 	   13.2 	      0 	  0.202 	   0.59 
   69.024	 DELIVER	    31 	   2.65 	   14.6 	      0 	  0.202 	   1.42 
   69.073	 DELIVER	    32 	   2.63 	   14.2 	      0 	  0.202 	  0.952 
   70.322	 DELIVER	    33 	   2.96 	   14.7 	      0 	  0.202 	  0.818 
   73.844	 DELIVER	    34 	   1.45 	   18.2 	      0 	  0.202 	   2.85 
   74.563	 DELIVER	    35 	   1.84 	   17.7 	      0 	  0.202 	   1.66 
   75.516	 DELIVER	    36 	   2.24 	     18 	      0 	  0.202 	   1.82 
   76.248	 DELIVER	    37 	  0.613 	   17.4 	      0 	  0.202 	   1.13 
   76.251	 DELIVER	    38 	    1.5 	     17 	      0 	  0.202 	   1.08 
   80.685	 DELIVER	    39 	  0.477 	   20.8 	      0 	  0.202 	  0.668 
   80.769	 DELIVER	    40 	   1.36 	     19 	      0 	  0.202 	      0 
