    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	  0.395 	   7.97 	      0 	      0 
    0.061	    ARR	     1 	  0.395 	 0.0605 	      0 	      0 
    0.061	 TOPPING	     1 	 0.0605 	 0.0605 	      0 	      0 
    1.663	   COOK	     1 	    1.6 	 0.0605 	      0 	      0 
    1.819	    ARR	     2 	    1.6 	 0.0605 	      0 	      0 
    1.819	 TOPPING	     2 	    1.6 	 0.0605 	      0 	      0 
    1.857	    ARR	     3 	    1.6 	 0.0605 	      0 	      0 
    1.857	 TOPPING	     3 	    1.6 	 0.0605 	      0 	      0 
    3.044	   COOK	     2 	    1.6 	 0.0605 	      0 	      0 
    3.584	   COOK	     3 	    1.6 	 0.0605 	      0 	      0 
    4.457	    ARR	     4 	    1.6 	 0.0605 	      0 	      0 
    4.457	 TOPPING	     4 	    1.6 	 0.0605 	      0 	      0 
    5.400	  READY	     1 	    1.6 	 0.0605 	      0 	      0 
    5.400	 FINISH	     1 	    1.6 	 0.0605 	      0 	      0 
    6.599	 DELIVER	     1 	    1.6 	   6.54 	      0 	      0 
    7.148	   COOK	     4 	    1.6 	   6.54 	      0 	      0 
    7.220	  READY	     2 	    1.6 	   6.54 	      0 	      0 
    7.220	 FINISH	     2 	    1.6 	   6.54 	      0 	      0 
    7.496	 DELIVER	     2 	   1.23 	   5.68 	      0 	      0 
    8.361	    ARR	     5 	   1.23 	   5.68 	      0 	      0 
    8.361	 TOPPING	     5 	   1.23 	   5.68 	      0 	      0 
    8.779	  READY	     3 	   1.23 	   5.68 	      0 	      0 
    8.779	 FINISH	     3 	   1.23 	   5.68 	      0 	      0 
    9.076	 DELIVER	     3 	   1.73 	   7.22 	      0 	      0 
   10.109	   COOK	     5 	   1.73 	   7.22 	      0 	      0 
   10.285	    ARR	     6 	   1.73 	   7.22 	      0 	      0 
   10.285	 TOPPING	     6 	   1.73 	   7.22 	      0 	      0 
   11.073	    ARR	     7 	   1.73 	   7.22 	      0 	      0 
   11.073	 TOPPING	     7 	   1.73 	   7.22 	      0 	      0 
   11.738	   COOK	     6 	   1.73 	   7.22 	      0 	      0 
   11.750	  READY	     4 	   1.73 	   7.22 	      0 	      0 
   11.750	 FINISH	     4 	   1.73 	   7.22 	      0 	      0 
   12.125	 DELIVER	     4 	   2.69 	   7.67 	      0 	      0 
   13.133	   COOK	     7 	   2.69 	   7.67 	      0 	      0 
   13.449	  READY	     5 	   2.69 	   7.67 	      0 	      0 
   13.449	 FINISH	     5 	   2.69 	   7.67 	      0 	      0 
   13.712	 DELIVER	     5 	   1.75 	   5.35 	      0 	      0 
   16.385	  READY	     6 	   1.75 	   5.35 	      0 	      0 
   16.385	 FINISH	     6 	   1.75 	   5.35 	      0 	      0 
   16.417	  READY	     7 	   1.75 	   5.35 	      0 	      0 
   16.887	 DELIVER	     6 	   2.06 	   5.81 	      0 	      0 
   16.887	 FINISH	     7 	   2.06 	   5.81 	      0 	      0 
   17.367	 DELIVER	     7 	   1.45 	   7.08 	      0 	      0 
   23.135	    ARR	     8 	   1.45 	   7.08 	      0 	      0 
   23.135	 TOPPING	     8 	   1.45 	   7.08 	      0 	      0 
   25.014	   COOK	     8 	   1.45 	   7.08 	      0 	      0 
   28.307	    ARR	     9 	   1.45 	   7.08 	      0 	      0 
   28.307	 TOPPING	     9 	   1.45 	   7.08 	      0 	      0 
   29.571	   COOK	     9 	   1.45 	   7.08 	      0 	      0 
   30.757	  READY	     8 	   1.45 	   7.08 	      0 	      0 
   30.757	 FINISH	     8 	   1.45 	   7.08 	      0 	      0 
   31.745	 DELIVER	     8 	   1.88 	   8.61 	      0 	      0 
   33.311	  READY	     9 	   1.88 	   8.61 	      0 	      0 
   33.311	 FINISH	     9 	   1.88 	   8.61 	      0 	      0 
   33.826	 DELIVER	     9 	   1.26 	   5.52 	      0 	      0 
   35.289	    ARR	    10 	   1.26 	   5.52 	      0 	      0 
   35.289	 TOPPING	    10 	   1.26 	   5.52 	      0 	      0 
   36.953	   COOK	    10 	   1.26 	   5.52 	      0 	      0 
   39.336	    ARR	    11 	   1.26 	   5.52 	      0 	      0 
   39.336	 TOPPING	    11 	   1.26 	   5.52 	      0 	      0 
   40.940	    ARR	    12 	   1.26 	   5.52 	      0 	      0 
   40.940	 TOPPING	    12 	   1.26 	   5.52 	      0 	      0 
   41.143	  READY	    10 	   1.26 	   5.52 	      0 	      0 
   41.143	 FINISH	    10 	   1.26 	   5.52 	      0 	      0 
   41.255	   COOK	    11 	   1.26 	   5.52 	      0 	      0 
   41.544	    ARR	    13 	   1.26 	   5.52 	      0 	      0 
   41.544	 TOPPING	    13 	   1.26 	   5.52 	      0 	      0 
   42.029	    ARR	    14 	   1.26 	   5.52 	      0 	      0 
   42.029	 TOPPING	    14 	   1.26 	   5.52 	      0 	      0 
   42.434	 DELIVER	    10 	   1.66 	   7.14 	      0 	      0 
   42.538	   COOK	    12 	   1.66 	   7.14 	      0 	      0 
   42.655	   COOK	    13 	   1.66 	   7.14 	      0 	      0 
   43.030	   COOK	    14 	   1.66 	   7.14 	      0 	      0 
   45.846	  READY	    11 	   1.66 	   7.14 	      0 	      0 
   45.846	 FINISH	    11 	   1.66 	   7.14 	      0 	      0 
   46.606	    ARR	    15 	   1.66 	   7.14 	      0 	      0 
   46.606	 TOPPING	    15 	   1.66 	   7.14 	      0 	      0 
   46.673	  READY	    12 	   1.66 	   7.14 	      0 	      0 
   46.823	 DELIVER	    11 	  0.995 	   5.28 	      0 	      0 
   46.823	 FINISH	    12 	  0.995 	   5.28 	      0 	      0 
   47.037	    ARR	    16 	  0.995 	   5.28 	      0 	      0 
   47.037	 TOPPING	    16 	  0.995 	   5.28 	      0 	      0 
   47.170	  READY	    13 	  0.995 	   5.28 	      0 	      0 
   47.294	  READY	    14 	  0.995 	   5.28 	      0 	      0 
   47.403	   COOK	    15 	  0.995 	   5.28 	      0 	      0 
   47.435	 DELIVER	    12 	   1.92 	    8.1 	      0 	      0 
   47.435	 FINISH	    13 	   1.92 	    8.1 	      0 	      0 
   47.474	   COOK	    16 	   1.92 	    8.1 	      0 	      0 
   47.918	 DELIVER	    13 	  0.995 	   42.6 	      0 	      0 
   47.918	 FINISH	    14 	  0.995 	   42.6 	      0 	      0 
   48.170	 DELIVER	    14 	      1 	   6.14 	      0 	      0 
   50.949	  READY	    15 	      1 	   6.14 	      0 	      0 
   50.949	 FINISH	    15 	      1 	   6.14 	      0 	      0 
   51.179	  READY	    16 	      1 	   6.14 	      0 	      0 
   52.136	    ARR	    17 	      1 	   6.14 	      0 	      0 
   52.136	 TOPPING	    17 	      1 	   6.14 	      0 	      0 
   52.609	 DELIVER	    15 	  0.798 	      6 	      0 	      0 
   52.609	 FINISH	    16 	  0.798 	      6 	      0 	      0 
   52.853	    ARR	    18 	  0.798 	      6 	      0 	      0 
   52.853	 TOPPING	    18 	  0.798 	      6 	      0 	      0 
   53.237	    ARR	    19 	  0.798 	      6 	      0 	      0 
   53.237	 TOPPING	    19 	  0.798 	      6 	      0 	      0 
   53.547	    ARR	    20 	  0.798 	      6 	      0 	      0 
   53.671	 DELIVER	    16 	  0.438 	   6.63 	      0 	      0 
   53.685	   COOK	    17 	  0.438 	   6.63 	      0 	      0 
   53.685	 TOPPING	    20 	  0.438 	   6.63 	      0 	      0 
   53.862	    ARR	    21 	  0.438 	   6.63 	      0 	      0 
   53.965	   COOK	    18 	  0.438 	   6.63 	      0 	      0 
   53.965	 TOPPING	    21 	  0.438 	   6.63 	      0 	      0 
   54.391	   COOK	    19 	  0.438 	   6.63 	      0 	      0 
   54.767	    ARR	    22 	  0.438 	   6.63 	      0 	      0 
   54.767	 TOPPING	    22 	  0.438 	   6.63 	      0 	      0 
   54.888	    ARR	    23 	  0.438 	   6.63 	      0 	      0 
   55.450	   COOK	    20 	  0.438 	   6.63 	      0 	      0 
   55.450	 TOPPING	    23 	  0.438 	   6.63 	      0 	      0 
   55.678	   COOK	    21 	  0.438 	   6.63 	      0 	      0 
   55.743	    ARR	    24 	  0.438 	   6.63 	      0 	      0 
   55.743	 TOPPING	    24 	  0.438 	   6.63 	      0 	      0 
   56.144	    ARR	    25 	  0.438 	   6.63 	      0 	      0 
   56.511	   COOK	    22 	  0.438 	   6.63 	      0 	      0 
   56.511	 TOPPING	    25 	  0.438 	   6.63 	      0 	      0 
   56.938	  READY	    17 	  0.438 	   6.63 	      0 	      0 
   56.938	 FINISH	    17 	  0.438 	   6.63 	      0 	      0 
   56.976	 DELIVER	    17 	  0.448 	   3.74 	      0 	      0 
   57.029	   COOK	    23 	  0.448 	   3.74 	      0 	      0 
   57.256	    ARR	    26 	  0.448 	   3.74 	      0 	      0 
   57.256	 TOPPING	    26 	  0.448 	   3.74 	      0 	      0 
   57.271	    ARR	    27 	  0.448 	   3.74 	      0 	      0 
   57.312	   COOK	    24 	  0.448 	   3.74 	      0 	      0 
   57.312	 TOPPING	    27 	  0.448 	   3.74 	      0 	      0 
   57.655	   COOK	    25 	  0.448 	   3.74 	      0 	      0 
   57.657	  READY	    18 	  0.448 	   3.74 	      0 	      0 
   57.657	 FINISH	    18 	  0.448 	   3.74 	      0 	      0 
   57.690	    ARR	    28 	  0.448 	   3.74 	      0 	      0 
   57.690	 TOPPING	    28 	  0.448 	   3.74 	      0 	      0 
   57.919	 DELIVER	    18 	  0.426 	   4.06 	      0 	      0 
   58.149	   COOK	    26 	  0.426 	   4.06 	      0 	      0 
   58.391	   COOK	    27 	  0.426 	   4.06 	      0 	      0 
   58.607	   COOK	    28 	  0.426 	   4.06 	      0 	      0 
   59.524	  READY	    19 	  0.426 	   4.06 	      0 	      0 
   59.524	 FINISH	    19 	  0.426 	   4.06 	      0 	      0 
   59.533	  READY	    20 	  0.426 	   4.06 	      0 	      0 
   59.695	  READY	    21 	  0.426 	   4.06 	      0 	      0 
   59.800	  READY	    22 	  0.426 	   4.06 	      0 	      0 
   59.862	 DELIVER	    19 	   1.06 	   4.97 	      0 	      0 
   59.862	 FINISH	    20 	   1.06 	   4.97 	      0 	      0 
   59.886	 DELIVER	    20 	   1.99 	   6.34 	      0 	      0 
   59.886	 FINISH	    21 	   1.99 	   6.34 	      0 	      0 
   60.201	    ARR	    29 	   1.99 	   6.34 	      0 	      0 
   60.201	 TOPPING	    29 	   1.99 	   6.34 	      0 	      0 
   60.632	    ARR	    30 	   1.99 	   6.34 	      0 	      0 
   60.632	 TOPPING	    30 	   1.99 	   6.34 	      0 	      0 
   60.964	  READY	    23 	   1.99 	   6.34 	      0 	      0 
   61.114	   COOK	    29 	   1.99 	   6.34 	      0 	      0 
   61.798	    ARR	    31 	   1.99 	   6.34 	      0 	      0 
   61.798	 TOPPING	    31 	   1.99 	   6.34 	      0 	      0 
   61.886	  READY	    24 	   1.99 	   6.34 	      0 	      0 
   62.114	  READY	    25 	   1.99 	   6.34 	      0 	      0 
   62.214	   COOK	    30 	   1.99 	   6.34 	      0 	      0 
   62.277	 DELIVER	    21 	  0.426 	   58.2 	      0 	      0 
   62.277	 FINISH	    22 	  0.426 	   58.2 	      0 	      0 
   62.707	  READY	    26 	  0.426 	   58.2 	      0 	      0 
   62.801	  READY	    27 	  0.426 	   58.2 	      0 	      0 
   63.023	    ARR	    32 	  0.426 	   58.2 	      0 	      0 
   63.023	 TOPPING	    32 	  0.426 	   58.2 	      0 	      0 
   63.069	   COOK	    31 	  0.426 	   58.2 	      0 	      0 
   63.337	  READY	    28 	  0.426 	   58.2 	      0 	      0 
   63.687	    ARR	    33 	  0.426 	   58.2 	      0 	      0 
   63.687	 TOPPING	    33 	  0.426 	   58.2 	      0 	      0 
   63.938	 DELIVER	    22 	   2.54 	   9.17 	      0 	      0 
   63.938	 FINISH	    23 	   2.54 	   9.17 	      0 	      0 
   64.220	 DELIVER	    23 	   1.06 	   59.2 	      0 	      0 
   64.220	 FINISH	    24 	   1.06 	   59.2 	      0 	      0 
   64.724	   COOK	    32 	   1.06 	   59.2 	      0 	      0 
   65.776	   COOK	    33 	   1.06 	   59.2 	      0 	      0 
   65.934	    ARR	    34 	   1.06 	   59.2 	      0 	      0 
   65.934	 TOPPING	    34 	   1.06 	   59.2 	      0 	      0 
   66.100	    ARR	    35 	   1.06 	   59.2 	      0 	      0 
   66.100	 TOPPING	    35 	   1.06 	   59.2 	      0 	      0 
   66.245	  READY	    29 	   1.06 	   59.2 	      0 	      0 
   66.445	 DELIVER	    24 	   1.29 	   10.7 	      0 	      0 
   66.445	 FINISH	    25 	   1.29 	   10.7 	      0 	      0 
   67.260	   COOK	    34 	   1.29 	   10.7 	      0 	      0 
   67.362	   COOK	    35 	   1.29 	   10.7 	      0 	      0 
   67.686	    ARR	    36 	   1.29 	   10.7 	      0 	      0 
   67.686	 TOPPING	    36 	   1.29 	   10.7 	      0 	      0 
   67.888	  READY	    30 	   1.29 	   10.7 	      0 	      0 
   68.340	    ARR	    37 	   1.29 	   10.7 	      0 	      0 
   68.340	 TOPPING	    37 	   1.29 	   10.7 	      0 	      0 
   68.566	  READY	    31 	   1.29 	   10.7 	      0 	      0 
   68.767	    ARR	    38 	   1.29 	   10.7 	      0 	      0 
   68.767	 TOPPING	    38 	   1.29 	   10.7 	      0 	      0 
   68.868	   COOK	    36 	   1.29 	   10.7 	      0 	      0 
   68.928	   COOK	    37 	   1.29 	   10.7 	      0 	      0 
   69.063	    ARR	    39 	   1.29 	   10.7 	      0 	      0 
   69.063	 TOPPING	    39 	   1.29 	   10.7 	      0 	      0 
   69.216	 DELIVER	    25 	    2.1 	   13.1 	      0 	      0 
   69.216	 FINISH	    26 	    2.1 	   13.1 	      0 	      0 
   69.348	  READY	    32 	    2.1 	   13.1 	      0 	      0 
   69.506	    ARR	    40 	    2.1 	   13.1 	      0 	      0 
   69.506	 TOPPING	    40 	    2.1 	   13.1 	      0 	      0 
   69.851	    ARR	    41 	    2.1 	   13.1 	      0 	      0 
   69.962	 DELIVER	    26 	    0.4 	   12.7 	      0 	      0 
   69.962	 FINISH	    27 	    0.4 	   12.7 	      0 	      0 
   70.062	   COOK	    38 	    0.4 	   12.7 	      0 	      0 
   70.062	 TOPPING	    41 	    0.4 	   12.7 	      0 	      0 
   70.331	   COOK	    39 	    0.4 	   12.7 	      0 	      0 
   70.654	    ARR	    42 	    0.4 	   12.7 	      0 	      0 
   70.654	 TOPPING	    42 	    0.4 	   12.7 	      0 	      0 
   70.658	  READY	    33 	    0.4 	   12.7 	      0 	      0 
   70.725	 DELIVER	    27 	  0.837 	   13.5 	      0 	      0 
   70.725	 FINISH	    28 	  0.837 	   13.5 	      0 	      0 
   70.843	    ARR	    43 	  0.837 	   13.5 	      0 	      0 
   70.927	  READY	    34 	  0.837 	   13.5 	      0 	      0 
   71.316	    ARR	    44 	  0.837 	   13.5 	      0 	      0 
   71.441	   COOK	    40 	  0.837 	   13.5 	      0 	      0 
   71.441	 TOPPING	    43 	  0.837 	   13.5 	      0 	      0 
   71.464	    ARR	    45 	  0.837 	   13.5 	      0 	      0 
   71.560	   COOK	    41 	  0.837 	   13.5 	      0 	      0 
   71.560	 TOPPING	    44 	  0.837 	   13.5 	      0 	      0 
   71.998	 DELIVER	    28 	  0.701 	   14.3 	      0 	      0 
   71.998	 FINISH	    29 	  0.701 	   14.3 	      0 	      0 
   72.305	   COOK	    42 	  0.701 	   14.3 	      0 	      0 
   72.305	 TOPPING	    45 	  0.701 	   14.3 	      0 	      0 
   72.503	    ARR	    46 	  0.701 	   14.3 	      0 	      0 
   72.677	  READY	    35 	  0.701 	   14.3 	      0 	      0 
   72.928	  READY	    36 	  0.701 	   14.3 	      0 	      0 
   73.030	    ARR	    47 	  0.701 	   14.3 	      0 	      0 
