    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   2.13 	   5.97 	      0 	      0 
    0.095	    ARR	     1 	   2.13 	 0.0946 	      0 	      0 
    0.095	 TOPPING	     1 	 0.0946 	 0.0946 	      0 	      0 
    0.802	   COOK	     1 	  0.708 	 0.0946 	      0 	      0 
    2.885	    ARR	     2 	  0.708 	 0.0946 	      0 	      0 
    2.885	 TOPPING	     2 	  0.708 	 0.0946 	      0 	      0 
    4.070	  READY	     1 	  0.708 	 0.0946 	      0 	      0 
    4.070	 FINISH	     1 	  0.708 	 0.0946 	      0 	      0 
    5.697	   COOK	     2 	  0.708 	 0.0946 	      0 	      0 
    7.416	    ARR	     3 	  0.708 	 0.0946 	      0 	      0 
    7.416	 TOPPING	     3 	  0.708 	 0.0946 	      0 	      0 
    7.721	 DELIVER	     1 	  0.708 	   7.63 	      0 	      0 
    8.139	    ARR	     4 	  0.708 	   7.63 	      0 	      0 
    8.139	 TOPPING	     4 	  0.708 	   7.63 	      0 	      0 
    8.453	   COOK	     3 	  0.708 	   7.63 	      0 	      0 
    8.644	    ARR	     5 	  0.708 	   7.63 	      0 	      0 
    8.644	 TOPPING	     5 	  0.708 	   7.63 	      0 	      0 
    9.944	   COOK	     4 	  0.708 	   7.63 	      0 	      0 
   10.153	   COOK	     5 	  0.708 	   7.63 	      0 	      0 
   10.686	    ARR	     6 	  0.708 	   7.63 	      0 	      0 
   10.686	 TOPPING	     6 	  0.708 	   7.63 	      0 	      0 
   10.814	    ARR	     7 	  0.708 	   7.63 	      0 	      0 
   10.814	 TOPPING	     7 	  0.708 	   7.63 	      0 	      0 
   11.200	  READY	     2 	  0.708 	   7.63 	      0 	      0 
   11.200	 FINISH	     2 	  0.708 	   7.63 	      0 	      0 
   12.025	 DELIVER	     2 	   2.81 	   9.14 	      0 	      0 
   12.027	    ARR	     8 	   2.81 	   9.14 	      0 	      0 
