    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    8.304	 DELIVER	     1 	  0.982 	   8.26 	      0 	      0 	      0 
   12.740	 DELIVER	     2 	  0.548 	   9.12 	      0 	      0 	      0 
   12.809	 DELIVER	     3 	  0.869 	   9.91 	      0 	      0 	      0 
   14.913	 DELIVER	     4 	  0.548 	   5.79 	      0 	      0 	      0 
   19.392	 DELIVER	     5 	   1.86 	   7.16 	      0 	      0 	      0 
   21.907	 DELIVER	     6 	   1.62 	   5.57 	      0 	      0 	      0 
   24.226	 DELIVER	     7 	   1.16 	   6.75 	      0 	      0 	      0 
   25.479	 DELIVER	     8 	  0.868 	   6.49 	      0 	      0 	      0 
   35.071	 DELIVER	     9 	    2.4 	   9.52 	      0 	      0 	      0 
   36.541	 DELIVER	    10 	   2.65 	   8.78 	      0 	      0 	      0 
   42.638	 DELIVER	    11 	   2.03 	    8.1 	      0 	      0 	      0 
   44.778	 DELIVER	    12 	   2.03 	   36.7 	      0 	      0 	      0 
   45.019	 DELIVER	    13 	   1.62 	   7.61 	      0 	      0 	      0 
   45.423	 DELIVER	    14 	  0.533 	   7.23 	      0 	      0 	      0 
   48.411	 DELIVER	    15 	   2.48 	   6.93 	      0 	      0 	      0 
   50.280	 DELIVER	    16 	   1.42 	   8.43 	      0 	      0 	      0 
   52.300	 DELIVER	    17 	   2.46 	   7.66 	      0 	      0 	      0 
   62.586	 DELIVER	    18 	  0.417 	   4.85 	      0 	      0 	      0 
   62.631	 DELIVER	    19 	   1.53 	   4.96 	      0 	      0 	      0 
   64.102	 DELIVER	    20 	   2.33 	   6.47 	      0 	      0 	      0 
   66.903	 DELIVER	    21 	   2.31 	   8.16 	      0 	      0 	      0 
   69.609	 DELIVER	    22 	  0.385 	   8.79 	      0 	      0 	      0 
   69.783	 DELIVER	    23 	   1.35 	   8.81 	      0 	      0 	      0 
   69.967	 DELIVER	    24 	  0.764 	   6.73 	      0 	      0 	      0 
   75.790	 DELIVER	    25 	   0.55 	   10.3 	      0 	      0 	      0 
   76.385	 DELIVER	    26 	   1.69 	   10.7 	      0 	      0 	      0 
   77.386	 DELIVER	    27 	   1.48 	   9.52 	      0 	      0 	      0 
   78.773	 DELIVER	    28 	   1.42 	    8.6 	      0 	      0 	      0 
   78.853	 DELIVER	    29 	   0.68 	    5.7 	      0 	      0 	      0 
   80.400	 DELIVER	    30 	   1.37 	   5.94 	      0 	      0 	  0.278 
   80.726	 DELIVER	    31 	   1.56 	   7.55 	      0 	      0 	      0 
   81.334	 DELIVER	    32 	    2.2 	   7.25 	      0 	      0 	      0 
   81.768	 DELIVER	    33 	   1.37 	   75.8 	      0 	      0 	  0.278 
   83.632	 DELIVER	    34 	   2.78 	   7.54 	      0 	      0 	      0 
   83.687	 DELIVER	    35 	   1.09 	   6.69 	      0 	      0 	      0 
   84.763	 DELIVER	    36 	   1.12 	   6.83 	      0 	      0 	      0 
   85.444	 DELIVER	    37 	   1.72 	   6.57 	      0 	      0 	  0.184 
   86.118	 DELIVER	    38 	  0.533 	   6.11 	      0 	      0 	  0.369 
   86.165	 DELIVER	    39 	   1.72 	   79.6 	      0 	      0 	  0.184 
   88.108	 DELIVER	    40 	  0.533 	     82 	      0 	      0 	  0.369 
   88.284	 DELIVER	    41 	   1.71 	   7.68 	      0 	      0 	      0 
   88.999	 DELIVER	    42 	   1.79 	   5.56 	      0 	      0 	      0 
   90.100	 DELIVER	    43 	  0.941 	   4.36 	      0 	      0 	      0 
   91.556	 DELIVER	    44 	      3 	   9.49 	      0 	      0 	      0 
   92.003	 DELIVER	    45 	   2.71 	   7.92 	      0 	      0 	      0 
   92.008	 DELIVER	    46 	   1.49 	   6.52 	      0 	      0 	      0 
   94.301	 DELIVER	    47 	    1.4 	   7.53 	      0 	      0 	      0 
  104.630	 DELIVER	    48 	   1.43 	   6.13 	      0 	      0 	      0 
  106.627	 DELIVER	    49 	  0.989 	    8.6 	      0 	      0 	      0 
  111.753	 DELIVER	    50 	  0.922 	   5.71 	      0 	      0 	      0 
  119.918	 DELIVER	    51 	    2.1 	   6.11 	      0 	 0.0809 	      0 
  123.841	 DELIVER	    52 	    2.1 	    118 	      0 	  0.247 	      0 
  125.866	 DELIVER	    53 	  0.758 	   11.6 	      0 	  0.247 	      0 
  125.913	 DELIVER	    54 	  0.599 	   11.3 	      0 	  0.247 	  0.394 
  129.416	 DELIVER	    55 	   1.72 	   14.6 	      0 	  0.247 	  0.581 
  130.107	 DELIVER	    56 	   1.72 	     15 	      0 	  0.247 	  0.471 
  131.039	 DELIVER	    57 	   2.54 	   15.3 	      0 	  0.247 	  0.131 
  131.738	 DELIVER	    58 	  0.915 	   15.4 	      0 	  0.247 	  0.878 
  132.112	 DELIVER	    59 	   1.65 	   15.4 	      0 	  0.247 	  0.617 
  132.315	 DELIVER	    60 	   1.17 	   15.1 	      0 	  0.247 	  0.896 
  132.723	 DELIVER	    61 	    1.4 	   15.4 	      0 	  0.247 	   1.11 
  134.538	 DELIVER	    62 	    2.5 	   17.1 	      0 	  0.247 	   1.56 
  135.091	 DELIVER	    63 	   2.25 	   16.9 	      0 	  0.247 	   1.05 
  136.550	 DELIVER	    64 	   2.52 	   17.7 	      0 	  0.825 	  0.954 
  137.397	 DELIVER	    65 	  0.692 	   18.5 	      0 	  0.825 	   2.58 
  137.727	 DELIVER	    66 	    1.6 	     18 	      0 	  0.825 	   1.75 
  137.850	 DELIVER	    67 	   1.11 	   17.1 	      0 	  0.825 	   1.38 
  139.416	 DELIVER	    68 	   2.03 	   18.1 	      0 	  0.825 	   1.05 
  142.121	 DELIVER	    69 	  0.677 	   19.7 	      0 	  0.825 	  0.668 
  142.366	 DELIVER	    70 	   1.54 	   18.4 	      0 	  0.825 	      0 
  143.392	 DELIVER	    71 	  0.938 	   18.9 	      0 	  0.825 	      0 
  143.923	 DELIVER	    72 	   1.22 	   19.3 	      0 	  0.825 	      0 
  144.640	 DELIVER	    73 	    1.1 	   19.8 	      0 	  0.825 	  0.573 
  145.605	 DELIVER	    74 	   1.33 	   19.4 	      0 	  0.825 	      0 
  145.648	 DELIVER	    75 	   2.11 	   18.4 	      0 	  0.825 	      0 
  146.084	 DELIVER	    76 	   1.11 	   18.1 	      0 	  0.825 	      0 
  148.072	 DELIVER	    77 	   2.61 	   17.9 	      0 	  0.825 	      0 
  148.805	 DELIVER	    78 	   2.26 	   18.5 	      0 	  0.825 	      0 
  150.168	 DELIVER	    79 	   1.31 	   19.4 	      0 	  0.825 	      0 
  150.186	 DELIVER	    80 	   1.39 	   18.6 	      0 	  0.825 	  0.536 
  150.986	 DELIVER	    81 	   1.55 	   19.3 	      0 	  0.825 	   0.89 
  151.574	 DELIVER	    82 	  0.597 	   19.6 	      0 	  0.825 	  0.864 
  152.420	 DELIVER	    83 	   2.37 	   18.8 	      0 	  0.825 	      0 
  152.741	 DELIVER	    84 	   2.46 	   18.9 	      0 	  0.825 	      0 
  156.389	 DELIVER	    85 	   2.61 	   22.2 	      0 	  0.825 	      0 
  157.443	 DELIVER	    86 	   1.41 	   22.5 	      0 	  0.825 	   1.04 
  159.597	 DELIVER	    87 	  0.434 	   24.3 	      0 	  0.825 	   1.07 
  159.601	 DELIVER	    88 	   0.99 	   24.2 	      0 	  0.825 	   1.38 
  160.057	 DELIVER	    89 	  0.882 	   24.4 	      0 	  0.825 	   1.12 
