    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   2.02 	   7.49 	      0 	      0 
    0.031	    ARR	     1 	   2.02 	 0.0313 	      0 	      0 
    0.031	 TOPPING	     1 	 0.0313 	 0.0313 	      0 	      0 
    0.630	   COOK	     1 	  0.599 	 0.0313 	      0 	      0 
    2.809	    ARR	     2 	  0.599 	 0.0313 	      0 	      0 
    2.809	 TOPPING	     2 	  0.599 	 0.0313 	      0 	      0 
    2.861	    ARR	     3 	  0.599 	 0.0313 	      0 	      0 
    2.861	 TOPPING	     3 	  0.599 	 0.0313 	      0 	      0 
    3.466	   COOK	     2 	  0.599 	 0.0313 	      0 	      0 
    4.024	   COOK	     3 	  0.599 	 0.0313 	      0 	      0 
    4.257	  READY	     1 	  0.599 	 0.0313 	      0 	      0 
    4.257	 FINISH	     1 	  0.599 	 0.0313 	      0 	      0 
    4.365	 DELIVER	     1 	  0.599 	   4.33 	      0 	      0 
    6.861	    ARR	     4 	  0.599 	   4.33 	      0 	      0 
    6.861	 TOPPING	     4 	  0.599 	   4.33 	      0 	      0 
    7.474	    ARR	     5 	  0.599 	   4.33 	      0 	      0 
    7.474	 TOPPING	     5 	  0.599 	   4.33 	      0 	      0 
    8.263	    ARR	     6 	  0.599 	   4.33 	      0 	      0 
    8.263	 TOPPING	     6 	  0.599 	   4.33 	      0 	      0 
    8.634	  READY	     2 	  0.599 	   4.33 	      0 	      0 
    8.634	 FINISH	     2 	  0.599 	   4.33 	      0 	      0 
    8.751	 DELIVER	     2 	   1.16 	   5.89 	      0 	      0 
    9.248	  READY	     3 	   1.16 	   5.89 	      0 	      0 
    9.248	 FINISH	     3 	   1.16 	   5.89 	      0 	      0 
    9.280	   COOK	     4 	   1.16 	   5.89 	      0 	      0 
    9.366	   COOK	     5 	   1.16 	   5.89 	      0 	      0 
    9.860	    ARR	     7 	   1.16 	   5.89 	      0 	      0 
    9.860	 TOPPING	     7 	   1.16 	   5.89 	      0 	      0 
   10.730	 DELIVER	     3 	  0.657 	   7.92 	      0 	      0 
   10.812	   COOK	     6 	  0.657 	   7.92 	      0 	      0 
   10.924	    ARR	     8 	  0.657 	   7.92 	      0 	      0 
   10.924	 TOPPING	     8 	  0.657 	   7.92 	      0 	      0 
   12.065	   COOK	     7 	  0.657 	   7.92 	      0 	      0 
   13.024	   COOK	     8 	  0.657 	   7.92 	      0 	      0 
   13.899	  READY	     4 	  0.657 	   7.92 	      0 	      0 
   13.899	 FINISH	     4 	  0.657 	   7.92 	      0 	      0 
   14.075	  READY	     5 	  0.657 	   7.92 	      0 	      0 
   14.426	 DELIVER	     4 	   2.55 	   6.16 	      0 	      0 
   14.426	 FINISH	     5 	   2.55 	   6.16 	      0 	      0 
   14.986	  READY	     6 	   2.55 	   6.16 	      0 	      0 
   15.629	 DELIVER	     5 	   2.51 	   8.77 	      0 	      0 
   15.629	 FINISH	     6 	   2.51 	   8.77 	      0 	      0 
   15.941	  READY	     7 	   2.51 	   8.77 	      0 	      0 
   16.574	  READY	     8 	   2.51 	   8.77 	      0 	      0 
   16.816	 DELIVER	     6 	   1.81 	   9.34 	      0 	      0 
   16.816	 FINISH	     7 	   1.81 	   9.34 	      0 	      0 
   17.225	 DELIVER	     7 	    2.2 	   7.36 	      0 	      0 
   17.225	 FINISH	     8 	    2.2 	   7.36 	      0 	      0 
   18.105	    ARR	     9 	    2.2 	   7.36 	      0 	      0 
   18.105	 TOPPING	     9 	    2.2 	   7.36 	      0 	      0 
   18.617	    ARR	    10 	    2.2 	   7.36 	      0 	      0 
   18.617	 TOPPING	    10 	    2.2 	   7.36 	      0 	      0 
   18.662	 DELIVER	     8 	    2.1 	   7.74 	      0 	      0 
   20.452	    ARR	    11 	    2.1 	   7.74 	      0 	      0 
   20.452	 TOPPING	    11 	    2.1 	   7.74 	      0 	      0 
   20.708	   COOK	     9 	    2.1 	   7.74 	      0 	      0 
   21.083	    ARR	    12 	    2.1 	   7.74 	      0 	      0 
   21.083	 TOPPING	    12 	    2.1 	   7.74 	      0 	      0 
   21.158	   COOK	    10 	    2.1 	   7.74 	      0 	      0 
   21.980	   COOK	    11 	    2.1 	   7.74 	      0 	      0 
   22.504	   COOK	    12 	    2.1 	   7.74 	      0 	      0 
   22.835	    ARR	    13 	    2.1 	   7.74 	      0 	      0 
   22.835	 TOPPING	    13 	    2.1 	   7.74 	      0 	      0 
   24.623	   COOK	    13 	    2.1 	   7.74 	      0 	      0 
   26.020	  READY	     9 	    2.1 	   7.74 	      0 	      0 
   26.020	 FINISH	     9 	    2.1 	   7.74 	      0 	      0 
   26.096	  READY	    10 	    2.1 	   7.74 	      0 	      0 
   26.151	  READY	    11 	    2.1 	   7.74 	      0 	      0 
   26.243	 DELIVER	     9 	    2.6 	   8.14 	      0 	      0 
   26.243	 FINISH	    10 	    2.6 	   8.14 	      0 	      0 
   26.963	  READY	    12 	    2.6 	   8.14 	      0 	      0 
   27.607	  READY	    13 	    2.6 	   8.14 	      0 	      0 
   27.819	    ARR	    14 	    2.6 	   8.14 	      0 	      0 
   27.819	 TOPPING	    14 	    2.6 	   8.14 	      0 	      0 
   29.235	   COOK	    14 	    2.6 	   8.14 	      0 	      0 
   29.553	 DELIVER	    10 	   2.54 	   10.9 	      0 	      0 
   29.553	 FINISH	    11 	   2.54 	   10.9 	      0 	      0 
   29.749	    ARR	    15 	   2.54 	   10.9 	      0 	      0 
   29.749	 TOPPING	    15 	   2.54 	   10.9 	      0 	      0 
   30.451	   COOK	    15 	   2.54 	   10.9 	      0 	      0 
   30.492	 DELIVER	    11 	   2.05 	     10 	      0 	      0 
   30.492	 FINISH	    12 	   2.05 	     10 	      0 	      0 
   31.540	 DELIVER	    12 	  0.897 	   10.5 	      0 	      0 
   31.540	 FINISH	    13 	  0.897 	   10.5 	      0 	      0 
   32.471	 DELIVER	    13 	   1.79 	   9.64 	      0 	      0 
   32.872	  READY	    14 	   1.79 	   9.64 	      0 	      0 
   32.872	 FINISH	    14 	   1.79 	   9.64 	      0 	      0 
   33.076	    ARR	    16 	   1.79 	   9.64 	      0 	      0 
   33.076	 TOPPING	    16 	   1.79 	   9.64 	      0 	      0 
   33.385	 DELIVER	    14 	   1.42 	   5.57 	      0 	      0 
   34.064	    ARR	    17 	   1.42 	   5.57 	      0 	      0 
   34.064	 TOPPING	    17 	   1.42 	   5.57 	      0 	      0 
   34.352	  READY	    15 	   1.42 	   5.57 	      0 	      0 
   34.352	 FINISH	    15 	   1.42 	   5.57 	      0 	      0 
   35.639	   COOK	    16 	   1.42 	   5.57 	      0 	      0 
   35.854	   COOK	    17 	   1.42 	   5.57 	      0 	      0 
   36.047	 DELIVER	    15 	  0.701 	    6.3 	      0 	      0 
   38.863	    ARR	    18 	  0.701 	    6.3 	      0 	      0 
   38.863	 TOPPING	    18 	  0.701 	    6.3 	      0 	      0 
   39.451	  READY	    16 	  0.701 	    6.3 	      0 	      0 
   39.451	 FINISH	    16 	  0.701 	    6.3 	      0 	      0 
   39.799	 DELIVER	    16 	   2.56 	   6.72 	      0 	      0 
   39.981	  READY	    17 	   2.56 	   6.72 	      0 	      0 
   39.981	 FINISH	    17 	   2.56 	   6.72 	      0 	      0 
   40.119	 DELIVER	    17 	   1.79 	   6.06 	      0 	      0 
   40.656	   COOK	    18 	   1.79 	   6.06 	      0 	      0 
   44.742	  READY	    18 	   1.79 	   6.06 	      0 	      0 
   44.742	 FINISH	    18 	   1.79 	   6.06 	      0 	      0 
   45.926	 DELIVER	    18 	   1.79 	   7.06 	      0 	      0 
   49.507	    ARR	    19 	   1.79 	   7.06 	      0 	      0 
   49.507	 TOPPING	    19 	   1.79 	   7.06 	      0 	      0 
   50.291	   COOK	    19 	   1.79 	   7.06 	      0 	      0 
   50.317	    ARR	    20 	   1.79 	   7.06 	      0 	      0 
   50.317	 TOPPING	    20 	   1.79 	   7.06 	      0 	      0 
   51.653	   COOK	    20 	   1.79 	   7.06 	      0 	      0 
   51.764	    ARR	    21 	   1.79 	   7.06 	      0 	      0 
   51.764	 TOPPING	    21 	   1.79 	   7.06 	      0 	      0 
   52.226	    ARR	    22 	   1.79 	   7.06 	      0 	      0 
   52.226	 TOPPING	    22 	   1.79 	   7.06 	      0 	      0 
   52.444	    ARR	    23 	   1.79 	   7.06 	      0 	      0 
   52.444	 TOPPING	    23 	   1.79 	   7.06 	      0 	      0 
   52.471	    ARR	    24 	   1.79 	   7.06 	      0 	      0 
   52.670	   COOK	    21 	   1.79 	   7.06 	      0 	      0 
   52.670	 TOPPING	    24 	   1.79 	   7.06 	      0 	      0 
   53.112	    ARR	    25 	   1.79 	   7.06 	      0 	      0 
   53.929	  READY	    19 	   1.79 	   7.06 	      0 	      0 
   53.929	 FINISH	    19 	   1.79 	   7.06 	      0 	      0 
   53.938	 DELIVER	    19 	  0.783 	   4.43 	      0 	      0 
   54.396	   COOK	    22 	  0.783 	   4.43 	      0 	      0 
   54.396	 TOPPING	    25 	  0.783 	   4.43 	      0 	      0 
   54.455	    ARR	    26 	  0.783 	   4.43 	      0 	      0 
   54.622	   COOK	    23 	  0.783 	   4.43 	      0 	      0 
   54.622	 TOPPING	    26 	  0.783 	   4.43 	      0 	      0 
   54.667	    ARR	    27 	  0.783 	   4.43 	      0 	      0 
   55.087	   COOK	    24 	  0.783 	   4.43 	      0 	      0 
   55.087	 TOPPING	    27 	  0.783 	   4.43 	      0 	      0 
   55.090	   COOK	    25 	  0.783 	   4.43 	      0 	      0 
   55.461	  READY	    20 	  0.783 	   4.43 	      0 	      0 
   55.461	 FINISH	    20 	  0.783 	   4.43 	      0 	      0 
   55.469	 DELIVER	    20 	   1.34 	   5.15 	      0 	      0 
   55.799	    ARR	    28 	   1.34 	   5.15 	      0 	      0 
   55.799	 TOPPING	    28 	   1.34 	   5.15 	      0 	      0 
   56.117	    ARR	    29 	   1.34 	   5.15 	      0 	      0 
   56.475	    ARR	    30 	   1.34 	   5.15 	      0 	      0 
   56.525	   COOK	    26 	   1.34 	   5.15 	      0 	      0 
   56.525	 TOPPING	    29 	   1.34 	   5.15 	      0 	      0 
   56.526	    ARR	    31 	   1.34 	   5.15 	      0 	      0 
   56.582	   COOK	    27 	   1.34 	   5.15 	      0 	      0 
   56.582	 TOPPING	    30 	   1.34 	   5.15 	      0 	      0 
   56.662	    ARR	    32 	   1.34 	   5.15 	      0 	      0 
   56.982	   COOK	    28 	   1.34 	   5.15 	      0 	      0 
   56.982	 TOPPING	    31 	   1.34 	   5.15 	      0 	      0 
   57.668	   COOK	    29 	   1.34 	   5.15 	      0 	      0 
   57.668	 TOPPING	    32 	   1.34 	   5.15 	      0 	      0 
   57.753	   COOK	    30 	   1.34 	   5.15 	      0 	      0 
   57.962	  READY	    21 	   1.34 	   5.15 	      0 	      0 
   57.962	 FINISH	    21 	   1.34 	   5.15 	      0 	      0 
   58.139	  READY	    22 	   1.34 	   5.15 	      0 	      0 
   58.527	 DELIVER	    21 	   2.63 	   6.76 	      0 	      0 
   58.527	 FINISH	    22 	   2.63 	   6.76 	      0 	      0 
   58.558	    ARR	    33 	   2.63 	   6.76 	      0 	      0 
   58.558	 TOPPING	    33 	   2.63 	   6.76 	      0 	      0 
   59.171	  READY	    23 	   2.63 	   6.76 	      0 	      0 
   59.180	   COOK	    31 	   2.63 	   6.76 	      0 	      0 
   59.372	    ARR	    34 	   2.63 	   6.76 	      0 	      0 
   59.372	 TOPPING	    34 	   2.63 	   6.76 	      0 	      0 
   59.381	  READY	    24 	   2.63 	   6.76 	      0 	      0 
   59.546	   COOK	    32 	   2.63 	   6.76 	      0 	      0 
   59.883	   COOK	    33 	   2.63 	   6.76 	      0 	      0 
   60.258	  READY	    25 	   2.63 	   6.76 	      0 	      0 
   60.619	 DELIVER	    22 	  0.445 	   8.39 	      0 	      0 
   60.619	 FINISH	    23 	  0.445 	   8.39 	      0 	      0 
   60.868	  READY	    26 	  0.445 	   8.39 	      0 	      0 
   60.975	    ARR	    35 	  0.445 	   8.39 	      0 	      0 
   60.975	 TOPPING	    35 	  0.445 	   8.39 	      0 	      0 
   61.021	    ARR	    36 	  0.445 	   8.39 	      0 	      0 
   61.021	 TOPPING	    36 	  0.445 	   8.39 	      0 	      0 
   61.406	  READY	    27 	  0.445 	   8.39 	      0 	      0 
   61.520	   COOK	    34 	  0.445 	   8.39 	      0 	      0 
   61.766	  READY	    28 	  0.445 	   8.39 	      0 	      0 
   61.993	   COOK	    35 	  0.445 	   8.39 	      0 	      0 
   62.424	  READY	    29 	  0.445 	   8.39 	      0 	      0 
   62.441	  READY	    30 	  0.445 	   8.39 	      0 	      0 
   62.480	   COOK	    36 	  0.445 	   8.39 	      0 	      0 
   62.669	 DELIVER	    23 	   2.18 	   10.2 	      0 	      0 
   62.669	 FINISH	    24 	   2.18 	   10.2 	      0 	      0 
   62.999	 DELIVER	    24 	   2.42 	   10.5 	      0 	      0 
   62.999	 FINISH	    25 	   2.42 	   10.5 	      0 	      0 
   63.037	 DELIVER	    25 	   2.13 	   9.93 	      0 	      0 
   63.037	 FINISH	    26 	   2.13 	   9.93 	      0 	      0 
   63.112	  READY	    31 	   2.13 	   9.93 	      0 	      0 
   63.153	 DELIVER	    26 	  0.468 	    8.7 	      0 	      0 
   63.153	 FINISH	    27 	  0.468 	    8.7 	      0 	      0 
   63.972	    ARR	    37 	  0.468 	    8.7 	      0 	      0 
   63.972	 TOPPING	    37 	  0.468 	    8.7 	      0 	      0 
   64.373	 DELIVER	    27 	   2.58 	   9.71 	      0 	      0 
   64.373	 FINISH	    28 	   2.58 	   9.71 	      0 	      0 
   64.558	    ARR	    38 	   2.58 	   9.71 	      0 	      0 
   64.558	 TOPPING	    38 	   2.58 	   9.71 	      0 	      0 
   64.783	 DELIVER	    28 	  0.783 	   8.98 	      0 	      0 
   64.783	 FINISH	    29 	  0.783 	   8.98 	      0 	      0 
   64.793	  READY	    32 	  0.783 	   8.98 	      0 	      0 
   64.895	    ARR	    39 	  0.783 	   8.98 	      0 	      0 
   64.895	 TOPPING	    39 	  0.783 	   8.98 	      0 	      0 
   65.064	   COOK	    37 	  0.783 	   8.98 	      0 	      0 
   65.256	  READY	    33 	  0.783 	   8.98 	      0 	      0 
   65.417	  READY	    34 	  0.783 	   8.98 	      0 	      0 
   65.836	   COOK	    38 	  0.783 	   8.98 	      0 	      0 
   66.137	 DELIVER	    29 	  0.457 	     10 	      0 	      0 
   66.137	 FINISH	    30 	  0.457 	     10 	      0 	      0 
   66.243	 DELIVER	    30 	    2.6 	   9.77 	      0 	      0 
   66.243	 FINISH	    31 	    2.6 	   9.77 	      0 	      0 
   66.467	   COOK	    39 	    2.6 	   9.77 	      0 	      0 
   66.542	 DELIVER	    31 	  0.771 	     10 	      0 	      0 
   66.542	 FINISH	    32 	  0.771 	     10 	      0 	      0 
   66.558	  READY	    35 	  0.771 	     10 	      0 	      0 
   67.423	    ARR	    40 	  0.771 	     10 	      0 	      0 
   67.423	 TOPPING	    40 	  0.771 	     10 	      0 	      0 
   67.437	  READY	    36 	  0.771 	     10 	      0 	      0 
   67.581	    ARR	    41 	  0.771 	     10 	      0 	      0 
   67.581	 TOPPING	    41 	  0.771 	     10 	      0 	      0 
   67.686	 DELIVER	    32 	   1.88 	     11 	      0 	      0 
   67.686	 FINISH	    33 	   1.88 	     11 	      0 	      0 
   67.741	    ARR	    42 	   1.88 	     11 	      0 	      0 
   67.741	 TOPPING	    42 	   1.88 	     11 	      0 	      0 
   68.264	  READY	    37 	   1.88 	     11 	      0 	      0 
   68.397	    ARR	    43 	   1.88 	     11 	      0 	      0 
   68.597	    ARR	    44 	   1.88 	     11 	      0 	      0 
   68.878	   COOK	    40 	   1.88 	     11 	      0 	      0 
   68.878	 TOPPING	    43 	   1.88 	     11 	      0 	      0 
   69.089	   COOK	    41 	   1.88 	     11 	      0 	      0 
   69.089	 TOPPING	    44 	   1.88 	     11 	      0 	      0 
   69.127	    ARR	    45 	   1.88 	     11 	      0 	      0 
   69.306	 DELIVER	    33 	   2.96 	   10.7 	      0 	      0 
   69.306	 FINISH	    34 	   2.96 	   10.7 	      0 	      0 
   70.093	   COOK	    42 	   2.96 	   10.7 	      0 	      0 
   70.093	 TOPPING	    45 	   2.96 	   10.7 	      0 	      0 
   70.668	    ARR	    46 	   2.96 	   10.7 	      0 	      0 
   70.850	    ARR	    47 	   2.96 	   10.7 	      0 	      0 
   70.941	  READY	    38 	   2.96 	   10.7 	      0 	      0 
   71.107	   COOK	    43 	   2.96 	   10.7 	      0 	      0 
   71.107	 TOPPING	    46 	   2.96 	   10.7 	      0 	      0 
   71.185	   COOK	    44 	   2.96 	   10.7 	      0 	      0 
   71.185	 TOPPING	    47 	   2.96 	   10.7 	      0 	      0 
   71.677	   COOK	    45 	   2.96 	   10.7 	      0 	      0 
   71.836	    ARR	    48 	   2.96 	   10.7 	      0 	      0 
   71.836	 TOPPING	    48 	   2.96 	   10.7 	      0 	      0 
   71.865	  READY	    39 	   2.96 	   10.7 	      0 	      0 
   72.046	   COOK	    46 	   2.96 	   10.7 	      0 	      0 
   72.396	 DELIVER	    34 	  0.512 	     13 	      0 	      0 
   72.396	 FINISH	    35 	  0.512 	     13 	      0 	      0 
   72.408	    ARR	    49 	  0.512 	     13 	      0 	      0 
   72.408	 TOPPING	    49 	  0.512 	     13 	      0 	      0 
   72.533	  READY	    40 	  0.512 	     13 	      0 	      0 
   72.562	    ARR	    50 	  0.512 	     13 	      0 	      0 
   72.693	   COOK	    47 	  0.512 	     13 	      0 	      0 
   72.693	 TOPPING	    50 	  0.512 	     13 	      0 	      0 
   72.744	    ARR	    51 	  0.512 	     13 	      0 	      0 
   72.823	  READY	    41 	  0.512 	     13 	      0 	      0 
   72.843	 DELIVER	    35 	   1.51 	   11.9 	      0 	      0 
   72.843	 FINISH	    36 	   1.51 	   11.9 	      0 	      0 
   72.885	 DELIVER	    36 	  0.972 	   11.9 	      0 	      0 
   72.885	 FINISH	    37 	  0.972 	   11.9 	      0 	      0 
   73.012	   COOK	    48 	  0.972 	   11.9 	      0 	      0 
   73.012	 TOPPING	    51 	  0.972 	   11.9 	      0 	      0 
   73.200	   COOK	    49 	  0.972 	   11.9 	      0 	      0 
   73.660	 DELIVER	    37 	   1.09 	   9.69 	      0 	      0 
   73.660	 FINISH	    38 	   1.09 	   9.69 	      0 	      0 
   73.779	 DELIVER	    38 	   1.28 	   9.22 	      0 	      0 
   73.779	 FINISH	    39 	   1.28 	   9.22 	      0 	      0 
   73.885	  READY	    42 	   1.28 	   9.22 	      0 	      0 
   74.110	   COOK	    50 	   1.28 	   9.22 	      0 	      0 
   74.175	    ARR	    52 	   1.28 	   9.22 	      0 	      0 
   74.175	 TOPPING	    52 	   1.28 	   9.22 	      0 	      0 
   74.223	    ARR	    53 	   1.28 	   9.22 	      0 	      0 
   74.223	 TOPPING	    53 	   1.28 	   9.22 	      0 	      0 
   74.623	   COOK	    51 	   1.28 	   9.22 	      0 	      0 
   74.966	   COOK	    52 	   1.28 	   9.22 	      0 	      0 
   75.004	  READY	    43 	   1.28 	   9.22 	      0 	      0 
   75.085	  READY	    44 	   1.28 	   9.22 	      0 	      0 
   75.565	  READY	    45 	   1.28 	   9.22 	      0 	      0 
   75.612	  READY	    46 	   1.28 	   9.22 	      0 	      0 
   75.613	    ARR	    54 	   1.28 	   9.22 	      0 	      0 
   75.613	 TOPPING	    54 	   1.28 	   9.22 	      0 	      0 
   76.208	 DELIVER	    39 	   1.57 	   11.3 	      0 	      0 
   76.208	 FINISH	    40 	   1.57 	   11.3 	      0 	      0 
   76.569	    ARR	    55 	   1.57 	   11.3 	      0 	      0 
   76.569	 TOPPING	    55 	   1.57 	   11.3 	      0 	      0 
   76.959	   COOK	    53 	   1.57 	   11.3 	      0 	      0 
   77.218	   COOK	    54 	   1.57 	   11.3 	      0 	      0 
   77.235	  READY	    47 	   1.57 	   11.3 	      0 	      0 
   77.599	 DELIVER	    40 	   1.67 	   10.2 	      0 	      0 
   77.599	 FINISH	    41 	   1.67 	   10.2 	      0 	      0 
   77.618	 DELIVER	    41 	   2.51 	     10 	      0 	      0 
   77.618	 FINISH	    42 	   2.51 	     10 	      0 	      0 
   77.695	  READY	    48 	   2.51 	     10 	      0 	      0 
