    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   1.05 	   7.28 	      0 	      0 
    0.063	    ARR	     1 	   1.05 	 0.0631 	      0 	      0 
    0.063	 TOPPING	     1 	 0.0631 	 0.0631 	      0 	      0 
    0.655	    ARR	     2 	 0.0631 	 0.0631 	      0 	      0 
    0.655	 TOPPING	     2 	 0.0631 	 0.0631 	      0 	      0 
    2.320	   COOK	     1 	   2.26 	 0.0631 	      0 	      0 
    3.473	   COOK	     2 	   2.26 	 0.0631 	      0 	      0 
    6.879	  READY	     1 	   2.26 	 0.0631 	      0 	      0 
    6.879	 FINISH	     1 	   2.26 	 0.0631 	      0 	      0 
    7.265	    ARR	     3 	   2.26 	 0.0631 	      0 	      0 
    7.265	 TOPPING	     3 	   2.26 	 0.0631 	      0 	      0 
    7.889	    ARR	     4 	   2.26 	 0.0631 	      0 	      0 
    7.889	 TOPPING	     4 	   2.26 	 0.0631 	      0 	      0 
    8.386	   COOK	     3 	   2.26 	 0.0631 	      0 	      0 
    8.388	    ARR	     5 	   2.26 	 0.0631 	      0 	      0 
    8.388	 TOPPING	     5 	   2.26 	 0.0631 	      0 	      0 
    8.662	   COOK	     4 	   2.26 	 0.0631 	      0 	      0 
    8.789	 DELIVER	     1 	   2.26 	   8.73 	      0 	      0 
    8.824	   COOK	     5 	   2.26 	   8.73 	      0 	      0 
    9.160	  READY	     2 	   2.26 	   8.73 	      0 	      0 
    9.160	 FINISH	     2 	   2.26 	   8.73 	      0 	      0 
    9.227	 DELIVER	     2 	   2.82 	   8.57 	      0 	      0 
   10.295	    ARR	     6 	   2.82 	   8.57 	      0 	      0 
   10.295	 TOPPING	     6 	   2.82 	   8.57 	      0 	      0 
   11.190	    ARR	     7 	   2.82 	   8.57 	      0 	      0 
   11.190	 TOPPING	     7 	   2.82 	   8.57 	      0 	      0 
   11.431	    ARR	     8 	   2.82 	   8.57 	      0 	      0 
   11.431	 TOPPING	     8 	   2.82 	   8.57 	      0 	      0 
   11.510	   COOK	     6 	   2.82 	   8.57 	      0 	      0 
   12.127	   COOK	     7 	   2.82 	   8.57 	      0 	      0 
   13.179	  READY	     3 	   2.82 	   8.57 	      0 	      0 
   13.179	 FINISH	     3 	   2.82 	   8.57 	      0 	      0 
