    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.396	 DELIVER	     1 	   1.38 	   7.35 	      0 	      0 	      0 
   13.549	 DELIVER	     2 	   2.87 	   9.47 	      0 	      0 	      0 
   14.133	 DELIVER	     3 	   1.17 	   6.84 	      0 	      0 	      0 
   14.817	 DELIVER	     4 	      1 	   6.81 	      0 	      0 	      0 
   16.174	 DELIVER	     5 	   1.24 	   7.38 	      0 	      0 	      0 
   16.209	 DELIVER	     6 	   2.27 	   6.01 	      0 	      0 	      0 
   17.943	 DELIVER	     7 	   1.99 	    5.7 	      0 	      0 	      0 
   22.314	 DELIVER	     8 	   1.14 	   8.37 	      0 	      0 	      0 
   23.587	 DELIVER	     9 	   1.14 	   15.2 	      0 	      0 	      0 
   24.459	 DELIVER	    10 	  0.467 	   8.83 	      0 	      0 	      0 
   25.595	 DELIVER	    11 	   2.94 	    9.7 	      0 	      0 	      0 
   26.263	 DELIVER	    12 	   1.39 	   8.31 	      0 	      0 	      0 
   27.553	 DELIVER	    13 	  0.676 	   7.41 	      0 	      0 	      0 
   27.874	 DELIVER	    14 	   1.13 	   6.86 	      0 	      0 	      0 
   30.942	 DELIVER	    15 	   1.82 	   9.24 	      0 	      0 	      0 
   32.349	 DELIVER	    16 	   1.28 	   7.11 	      0 	      0 	      0 
   33.583	 DELIVER	    17 	  0.546 	   7.41 	      0 	      0 	      0 
   36.490	 DELIVER	    18 	   2.24 	   9.13 	      0 	      0 	      0 
   39.081	 DELIVER	    19 	  0.503 	   5.27 	      0 	      0 	      0 
   41.651	 DELIVER	    20 	   1.33 	   5.14 	      0 	      0 	      0 
   42.470	 DELIVER	    21 	  0.841 	   6.86 	      0 	      0 	      0 
   45.433	 DELIVER	    22 	  0.963 	   7.42 	      0 	      0 	      0 
   49.426	 DELIVER	    23 	   2.83 	   8.11 	      0 	      0 	      0 
   58.731	 DELIVER	    24 	  0.639 	   4.45 	      0 	      0 	      0 
   62.899	 DELIVER	    25 	   0.45 	   6.97 	      0 	      0 	      0 
   64.884	 DELIVER	    26 	   0.45 	   57.9 	      0 	      0 	      0 
   66.962	 DELIVER	    27 	   2.76 	   9.63 	      0 	      0 	      0 
   67.331	 DELIVER	    28 	   1.86 	   9.41 	      0 	      0 	      0 
   67.339	 DELIVER	    29 	   1.46 	   9.09 	      0 	      0 	      0 
   67.907	 DELIVER	    30 	  0.487 	   8.42 	      0 	      0 	  0.219 
   68.770	 DELIVER	    31 	   1.55 	   8.92 	      0 	      0 	      0 
   71.807	 DELIVER	    32 	   2.99 	   11.8 	      0 	      0 	 0.0741 
   73.494	 DELIVER	    33 	   2.12 	   11.5 	      0 	  0.164 	      0 
   73.779	 DELIVER	    34 	  0.666 	   10.6 	      0 	  0.164 	      0 
   74.200	 DELIVER	    35 	  0.785 	   10.9 	      0 	  0.164 	      0 
   74.203	 DELIVER	    36 	   1.78 	   10.6 	      0 	  0.164 	  0.149 
   74.859	 DELIVER	    37 	  0.651 	   10.8 	      0 	  0.164 	 0.0288 
   77.218	 DELIVER	    38 	  0.521 	     11 	      0 	  0.164 	      0 
   77.731	 DELIVER	    39 	   1.22 	   9.88 	      0 	  0.164 	      0 
   78.645	 DELIVER	    40 	   2.96 	   10.5 	      0 	  0.164 	      0 
   78.818	 DELIVER	    41 	   1.13 	   10.4 	      0 	  0.164 	      0 
