    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   1.64 	   6.79 	      0 	      0 
    0.046	    ARR	     1 	   1.64 	 0.0456 	      0 	      0 
    0.046	 TOPPING	     1 	 0.0456 	 0.0456 	      0 	      0 
    2.889	   COOK	     1 	   2.84 	 0.0456 	      0 	      0 
    6.497	  READY	     1 	   2.84 	 0.0456 	      0 	      0 
    6.497	 FINISH	     1 	   2.84 	 0.0456 	      0 	      0 
    6.511	 DELIVER	     1 	   2.84 	   6.47 	      0 	      0 
   10.343	    ARR	     2 	   2.84 	   6.47 	      0 	      0 
   10.343	 TOPPING	     2 	   2.84 	   6.47 	      0 	      0 
   12.958	   COOK	     2 	   2.84 	   6.47 	      0 	      0 
   13.522	    ARR	     3 	   2.84 	   6.47 	      0 	      0 
   13.522	 TOPPING	     3 	   2.84 	   6.47 	      0 	      0 
   14.319	    ARR	     4 	   2.84 	   6.47 	      0 	      0 
   14.319	 TOPPING	     4 	   2.84 	   6.47 	      0 	      0 
   14.839	   COOK	     3 	   2.84 	   6.47 	      0 	      0 
   15.047	   COOK	     4 	   2.84 	   6.47 	      0 	      0 
   16.117	  READY	     2 	   2.84 	   6.47 	      0 	      0 
   16.117	 FINISH	     2 	   2.84 	   6.47 	      0 	      0 
   16.190	 DELIVER	     2 	   2.62 	   5.85 	      0 	      0 
   17.851	  READY	     3 	   2.62 	   5.85 	      0 	      0 
   17.851	 FINISH	     3 	   2.62 	   5.85 	      0 	      0 
   18.458	 DELIVER	     3 	   1.32 	   4.94 	      0 	      0 
   19.973	    ARR	     5 	   1.32 	   4.94 	      0 	      0 
   19.973	 TOPPING	     5 	   1.32 	   4.94 	      0 	      0 
   20.351	  READY	     4 	   1.32 	   4.94 	      0 	      0 
   20.351	 FINISH	     4 	   1.32 	   4.94 	      0 	      0 
   20.610	 DELIVER	     4 	  0.728 	   6.29 	      0 	      0 
   20.669	   COOK	     5 	  0.728 	   6.29 	      0 	      0 
   24.120	    ARR	     6 	  0.728 	   6.29 	      0 	      0 
   24.120	 TOPPING	     6 	  0.728 	   6.29 	      0 	      0 
   25.031	   COOK	     6 	  0.728 	   6.29 	      0 	      0 
   25.077	  READY	     5 	  0.728 	   6.29 	      0 	      0 
   25.077	 FINISH	     5 	  0.728 	   6.29 	      0 	      0 
   25.647	 DELIVER	     5 	  0.696 	   5.67 	      0 	      0 
   27.412	    ARR	     7 	  0.696 	   5.67 	      0 	      0 
   27.412	 TOPPING	     7 	  0.696 	   5.67 	      0 	      0 
   29.088	  READY	     6 	  0.696 	   5.67 	      0 	      0 
   29.088	 FINISH	     6 	  0.696 	   5.67 	      0 	      0 
   29.171	   COOK	     7 	  0.696 	   5.67 	      0 	      0 
   30.202	 DELIVER	     6 	  0.911 	   6.08 	      0 	      0 
   30.887	    ARR	     8 	  0.911 	   6.08 	      0 	      0 
   30.887	 TOPPING	     8 	  0.911 	   6.08 	      0 	      0 
   31.424	   COOK	     8 	  0.911 	   6.08 	      0 	      0 
   32.360	  READY	     7 	  0.911 	   6.08 	      0 	      0 
   32.360	 FINISH	     7 	  0.911 	   6.08 	      0 	      0 
   32.695	 DELIVER	     7 	   1.76 	   5.28 	      0 	      0 
   32.877	    ARR	     9 	   1.76 	   5.28 	      0 	      0 
   32.877	 TOPPING	     9 	   1.76 	   5.28 	      0 	      0 
   33.423	   COOK	     9 	   1.76 	   5.28 	      0 	      0 
   35.219	  READY	     8 	   1.76 	   5.28 	      0 	      0 
   35.219	 FINISH	     8 	   1.76 	   5.28 	      0 	      0 
   36.242	 DELIVER	     8 	  0.537 	   5.35 	      0 	      0 
   36.372	  READY	     9 	  0.537 	   5.35 	      0 	      0 
   36.372	 FINISH	     9 	  0.537 	   5.35 	      0 	      0 
   38.803	    ARR	    10 	  0.537 	   5.35 	      0 	      0 
   38.803	 TOPPING	    10 	  0.537 	   5.35 	      0 	      0 
   39.782	   COOK	    10 	  0.537 	   5.35 	      0 	      0 
   39.957	 DELIVER	     9 	  0.546 	   7.08 	      0 	      0 
   41.875	    ARR	    11 	  0.546 	   7.08 	      0 	      0 
   41.875	 TOPPING	    11 	  0.546 	   7.08 	      0 	      0 
   43.026	    ARR	    12 	  0.546 	   7.08 	      0 	      0 
   43.026	 TOPPING	    12 	  0.546 	   7.08 	      0 	      0 
   43.549	   COOK	    11 	  0.546 	   7.08 	      0 	      0 
   43.951	    ARR	    13 	  0.546 	   7.08 	      0 	      0 
   43.951	 TOPPING	    13 	  0.546 	   7.08 	      0 	      0 
   44.356	  READY	    10 	  0.546 	   7.08 	      0 	      0 
