    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    9.372	 DELIVER	     1 	    1.5 	   9.33 	      0 	      0 	      0 
   10.443	 DELIVER	     2 	    1.5 	   1.11 	      0 	      0 	      0 
   10.522	 DELIVER	     3 	  0.667 	   10.1 	      0 	      0 	   1.17 
   12.438	 DELIVER	     4 	   2.57 	   8.67 	      0 	      0 	      0 
   14.390	 DELIVER	     5 	  0.423 	   10.5 	      0 	      0 	      0 
   14.862	 DELIVER	     6 	   1.38 	   9.34 	      0 	      0 	      0 
   15.980	 DELIVER	     7 	   1.29 	   6.29 	      0 	      0 	      0 
   16.510	 DELIVER	     8 	   2.87 	   9.02 	      0 	      0 	      0 
   22.240	 DELIVER	     9 	   1.14 	   7.57 	      0 	      0 	      0 
   23.740	 DELIVER	    10 	   1.44 	   6.49 	      0 	      0 	      0 
   28.976	 DELIVER	    11 	   2.21 	   5.45 	      0 	      0 	      0 
   31.161	 DELIVER	    12 	   1.81 	   7.29 	      0 	      0 	      0 
   33.813	 DELIVER	    13 	   2.16 	   8.74 	      0 	      0 	  0.667 
   34.212	 DELIVER	    14 	   1.59 	   9.99 	      0 	      0 	   1.45 
   38.956	 DELIVER	    15 	   2.71 	   7.27 	      0 	      0 	      0 
   39.279	 DELIVER	    16 	   2.47 	   7.74 	      0 	      0 	      0 
   41.662	 DELIVER	    17 	   1.47 	   9.89 	      0 	      0 	   2.24 
   43.772	 DELIVER	    18 	   1.47 	    8.7 	      0 	      0 	  0.416 
   43.959	 DELIVER	    19 	   2.37 	   8.92 	      0 	      0 	      0 
   47.952	 DELIVER	    20 	   1.16 	   7.13 	      0 	      0 	      0 
   48.704	 DELIVER	    21 	   2.72 	   8.53 	      0 	      0 	      0 
   48.855	 DELIVER	    22 	   2.44 	   7.77 	      0 	      0 	  0.903 
   58.384	 DELIVER	    23 	   1.08 	    5.3 	      0 	      0 	      0 
   58.797	 DELIVER	    24 	   2.66 	   6.25 	      0 	      0 	      0 
   59.751	 DELIVER	    25 	   1.49 	   5.71 	      0 	      0 	   1.06 
   62.526	 DELIVER	    26 	  0.934 	   8.62 	      0 	      0 	  0.262 
   62.794	 DELIVER	    27 	   2.79 	   8.17 	      0 	      0 	  0.586 
