    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    6.630	 DELIVER	     1 	   1.42 	   6.58 	      0 	      0 	      0 
   10.999	 DELIVER	     2 	   1.43 	   8.66 	      0 	      0 	      0 
   11.016	 DELIVER	     3 	  0.729 	    6.4 	      0 	      0 	      0 
   20.322	 DELIVER	     4 	   1.52 	   8.11 	      0 	      0 	      0 
   20.686	 DELIVER	     5 	   2.25 	   6.81 	      0 	      0 	      0 
   25.972	 DELIVER	     6 	   2.41 	   8.02 	      0 	      0 	      0 
   27.460	 DELIVER	     7 	   2.68 	   7.76 	      0 	      0 	      0 
   29.023	 DELIVER	     8 	  0.586 	   5.61 	      0 	      0 	      0 
   32.947	 DELIVER	     9 	   1.07 	   6.29 	      0 	      0 	      0 
   35.846	 DELIVER	    10 	   2.19 	   10.6 	      0 	      0 	      0 
   35.995	 DELIVER	    11 	  0.711 	   8.98 	      0 	      0 	  0.422 
   36.108	 DELIVER	    12 	   1.08 	   8.96 	      0 	      0 	  0.583 
   41.520	 DELIVER	    13 	    1.8 	   12.9 	      0 	      0 	      0 
   42.150	 DELIVER	    14 	   2.12 	   12.3 	      0 	      0 	      0 
   42.538	 DELIVER	    15 	   1.73 	   10.9 	      0 	      0 	      0 
   42.658	 DELIVER	    16 	   1.31 	   7.12 	      0 	      0 	      0 
   44.255	 DELIVER	    17 	  0.927 	    7.4 	      0 	      0 	      0 
   46.248	 DELIVER	    18 	   1.93 	   7.79 	      0 	      0 	      0 
   50.117	 DELIVER	    19 	  0.764 	   8.19 	      0 	      0 	      0 
   51.510	 DELIVER	    20 	   1.95 	   10.1 	      0 	      0 	      0 
   51.663	 DELIVER	    21 	  0.764 	   43.5 	      0 	      0 	      0 
   53.541	 DELIVER	    22 	    2.3 	   9.84 	      0 	      0 	      0 
   56.645	 DELIVER	    23 	   1.37 	   10.4 	      0 	      0 	      0 
   57.924	 DELIVER	    24 	   2.91 	   9.38 	      0 	      0 	      0 
   58.665	 DELIVER	    25 	   1.89 	    8.5 	      0 	      0 	      0 
   58.938	 DELIVER	    26 	  0.714 	   7.68 	      0 	      0 	  0.202 
   59.071	 DELIVER	    27 	   1.44 	   6.98 	      0 	      0 	      0 
   60.085	 DELIVER	    28 	   1.84 	   7.61 	      0 	      0 	      0 
   62.285	 DELIVER	    29 	   2.47 	   8.83 	      0 	   2.59 	 0.0874 
   62.415	 DELIVER	    30 	  0.665 	   6.82 	      0 	   2.59 	      0 
   64.043	 DELIVER	    31 	   1.53 	   7.31 	      0 	   2.86 	      0 
   64.277	 DELIVER	    32 	   2.97 	   7.07 	      0 	   2.86 	      0 
   65.824	 DELIVER	    33 	   2.08 	   7.45 	      0 	   4.15 	   1.81 
   66.637	 DELIVER	    34 	   2.86 	   9.09 	      0 	   4.23 	  0.713 
   67.040	 DELIVER	    35 	   1.51 	   8.08 	      0 	   4.23 	   2.16 
   67.850	 DELIVER	    36 	   1.11 	   8.19 	      0 	   4.69 	    2.6 
   69.203	 DELIVER	    37 	  0.495 	   9.54 	      0 	   4.69 	   2.97 
   69.290	 DELIVER	    38 	  0.596 	    9.2 	      0 	   4.69 	   3.04 
   70.517	 DELIVER	    39 	  0.765 	   7.46 	      0 	   5.15 	   2.12 
   73.372	 DELIVER	    40 	   1.44 	   10.9 	      0 	   5.15 	   1.28 
   74.925	 DELIVER	    41 	  0.765 	   67.5 	      0 	   5.15 	   2.12 
   76.254	 DELIVER	    42 	   1.25 	   12.6 	      0 	   5.15 	   2.19 
   76.353	 DELIVER	    43 	    1.5 	   11.9 	      0 	   5.15 	   1.53 
   76.699	 DELIVER	    44 	   2.35 	   12.2 	      0 	   5.15 	   2.54 
   78.445	 DELIVER	    45 	   2.45 	   13.9 	   4.03 	   5.15 	   2.89 
   79.392	 DELIVER	    46 	  0.572 	   13.5 	   4.03 	   5.15 	   3.56 
   79.827	 DELIVER	    47 	   2.98 	   13.2 	   4.03 	   5.15 	   3.29 
   80.219	 DELIVER	    48 	   2.06 	   11.5 	   5.98 	   5.15 	   1.23 
   80.413	 DELIVER	    49 	   2.85 	   11.4 	   5.98 	   5.15 	   3.09 
   80.734	 DELIVER	    50 	   1.98 	   10.8 	   5.98 	   5.15 	    2.9 
   81.939	 DELIVER	    51 	   1.92 	   11.6 	   6.51 	   5.15 	   4.49 
   82.625	 DELIVER	    52 	   2.39 	   12.1 	   6.51 	   5.15 	   4.42 
   84.001	 DELIVER	    53 	  0.417 	   13.4 	   6.51 	   5.15 	   6.15 
   85.008	 DELIVER	    54 	  0.521 	   13.3 	   6.51 	   5.15 	   5.51 
   85.835	 DELIVER	    55 	    2.8 	   13.7 	   6.51 	   5.15 	   5.13 
   86.352	 DELIVER	    56 	   2.15 	   13.5 	   6.51 	   5.15 	   4.85 
   87.482	 DELIVER	    57 	   2.13 	   14.4 	   6.51 	   21.2 	   6.79 
   88.188	 DELIVER	    58 	   1.15 	   14.5 	   6.51 	   21.2 	   6.41 
   89.280	 DELIVER	    59 	      2 	   15.2 	   6.51 	   21.2 	   7.12 
   89.594	 DELIVER	    60 	  0.552 	   15.5 	   6.51 	   21.2 	   7.86 
   89.877	 DELIVER	    61 	  0.395 	   15.2 	   6.51 	   22.3 	   7.85 
   92.730	 DELIVER	    62 	   1.34 	   17.3 	   6.51 	   22.4 	   7.51 
   93.931	 DELIVER	    63 	   1.21 	   17.4 	   6.51 	   22.4 	   6.77 
   93.996	 DELIVER	    64 	   2.25 	   15.8 	   6.51 	   22.4 	   6.14 
   94.715	 DELIVER	    65 	   2.38 	     16 	   6.51 	   22.4 	   5.71 
   95.034	 DELIVER	    66 	   2.72 	   14.3 	   6.51 	   22.4 	   5.82 
   96.510	 DELIVER	    67 	    1.4 	   13.9 	   6.51 	   22.4 	   4.19 
   96.677	 DELIVER	    68 	   1.56 	   12.7 	   6.51 	   22.4 	   4.23 
   98.606	 DELIVER	    69 	    1.1 	   14.5 	   6.51 	   22.4 	   5.16 
  100.089	 DELIVER	    70 	  0.959 	   11.9 	   6.51 	   22.4 	   1.62 
  100.829	 DELIVER	    71 	   2.95 	   12.6 	   6.51 	   22.4 	   2.12 
  103.193	 DELIVER	    72 	   1.34 	   14.5 	   6.51 	   22.4 	   2.09 
  103.238	 DELIVER	    73 	   1.44 	   14.1 	   6.51 	   22.4 	   2.98 
  107.303	 DELIVER	    74 	  0.602 	     17 	   6.51 	   22.4 	   3.05 
  108.313	 DELIVER	    75 	   1.88 	   14.2 	   6.51 	   22.4 	      0 
  108.734	 DELIVER	    76 	  0.412 	   13.5 	   6.51 	   22.4 	      0 
  109.155	 DELIVER	    77 	    2.7 	   8.01 	   6.51 	   22.4 	      0 
  113.435	 DELIVER	    78 	   1.77 	   9.05 	   6.51 	   22.4 	      0 
  114.888	 DELIVER	    79 	  0.873 	   7.01 	   6.51 	   22.4 	      0 
  115.427	 DELIVER	    80 	   1.85 	   6.84 	   6.51 	   22.4 	  0.164 
  116.075	 DELIVER	    81 	   2.19 	   8.49 	   6.51 	   22.4 	      0 
  118.468	 DELIVER	    82 	   1.18 	   7.62 	   6.51 	   22.4 	      0 
  118.908	 DELIVER	    83 	   1.22 	   5.53 	   6.51 	   22.4 	      0 
  120.259	 DELIVER	    84 	   2.65 	   6.89 	   6.51 	   22.4 	      0 
  120.798	 DELIVER	    85 	   1.23 	   7.04 	   6.51 	   22.4 	  0.843 
  123.082	 DELIVER	    86 	   2.51 	   9.08 	   6.51 	   22.4 	   1.83 
  125.831	 DELIVER	    87 	   1.67 	   11.3 	   6.51 	   22.4 	   1.52 
  126.060	 DELIVER	    88 	   2.52 	   11.4 	   6.51 	   22.4 	   2.99 
  126.343	 DELIVER	    89 	    2.5 	   10.8 	   6.51 	   22.4 	   2.78 
  127.290	 DELIVER	    90 	   0.84 	   11.6 	   6.51 	   22.4 	   4.56 
  128.022	 DELIVER	    91 	    2.6 	     12 	   6.51 	   22.4 	   4.87 
  128.380	 DELIVER	    92 	  0.541 	     12 	   16.9 	   22.4 	   4.65 
  129.417	 DELIVER	    93 	   2.75 	   12.4 	   17.3 	   22.4 	   4.54 
  129.670	 DELIVER	    94 	  0.817 	   12.2 	   17.3 	   22.4 	   5.95 
  130.461	 DELIVER	    95 	  0.546 	   12.7 	   17.3 	   22.4 	   6.48 
  132.811	 DELIVER	    96 	  0.949 	   14.9 	   17.3 	   22.4 	   6.47 
  136.828	 DELIVER	    97 	   1.93 	   18.6 	   17.3 	   22.4 	   6.54 
  137.751	 DELIVER	    98 	   2.84 	   19.3 	   17.3 	   22.4 	   6.82 
  138.677	 DELIVER	    99 	   1.51 	   20.1 	   17.3 	   22.4 	   8.19 
  138.856	 DELIVER	   100 	   1.07 	   20.2 	   17.3 	   22.4 	   9.43 
  138.906	 DELIVER	   101 	  0.757 	   19.9 	   17.3 	   22.4 	    9.2 
  140.389	 DELIVER	   102 	   2.07 	   21.1 	   17.3 	   22.4 	   9.75 
  141.013	 DELIVER	   103 	   2.98 	   21.7 	   17.3 	   22.4 	   9.91 
  144.843	 DELIVER	   104 	   2.74 	     23 	   17.3 	   22.4 	   9.22 
  146.952	 DELIVER	   105 	   2.15 	   24.4 	   17.3 	   22.4 	   9.67 
  149.334	 DELIVER	   106 	  0.778 	   26.7 	   34.9 	   22.4 	   11.2 
  149.619	 DELIVER	   107 	   1.96 	   26.7 	   34.9 	   22.4 	   11.4 
  151.501	 DELIVER	   108 	  0.719 	   26.8 	   34.9 	   22.4 	   9.93 
  152.820	 DELIVER	   109 	   1.97 	   24.1 	   34.9 	   58.6 	   6.56 
  153.899	 DELIVER	   110 	   2.56 	     25 	   34.9 	   58.6 	    7.4 
  155.306	 DELIVER	   111 	   1.87 	   25.6 	   34.9 	   58.6 	    7.6 
  155.476	 DELIVER	   112 	   2.49 	   25.3 	   34.9 	   58.6 	   8.68 
  156.189	 DELIVER	   113 	   1.96 	   25.9 	   34.9 	   58.6 	   8.83 
  156.684	 DELIVER	   114 	   1.85 	   26.3 	   34.9 	   58.6 	   10.7 
  156.793	 DELIVER	   115 	  0.371 	   26.3 	   34.9 	   58.6 	   10.9 
  157.121	 DELIVER	   116 	   2.93 	   25.8 	   34.9 	   58.6 	   10.4 
  158.809	 DELIVER	   117 	   2.69 	   26.6 	   34.9 	   58.6 	   10.7 
  160.117	 DELIVER	   118 	   2.59 	   26.1 	   34.9 	   58.6 	   10.7 
  160.635	 DELIVER	   119 	   0.62 	   26.5 	   34.9 	   58.6 	   11.5 
  161.731	 DELIVER	   120 	   2.24 	   27.5 	   34.9 	   58.6 	   12.1 
  162.527	 DELIVER	   121 	   2.04 	   27.5 	   34.9 	   58.6 	   12.3 
  162.941	 DELIVER	   122 	    1.3 	   27.5 	   34.9 	   58.6 	   13.1 
  163.670	 DELIVER	   123 	   1.87 	   27.4 	   34.9 	   58.6 	     13 
  164.863	 DELIVER	   124 	   2.85 	   26.8 	   34.9 	   58.6 	   11.8 
  165.254	 DELIVER	   125 	   0.55 	   25.6 	   34.9 	   58.6 	   11.5 
  166.215	 DELIVER	   126 	   1.94 	   26.3 	   34.9 	   58.6 	   11.8 
  166.838	 DELIVER	   127 	    2.5 	   26.9 	   34.9 	   58.6 	   12.7 
  167.547	 DELIVER	   128 	  0.608 	   27.2 	   34.9 	   58.6 	   13.3 
  168.732	 DELIVER	   129 	   2.46 	   19.5 	   34.9 	   58.6 	   4.99 
  169.327	 DELIVER	   130 	   1.65 	   15.6 	   34.9 	   58.6 	   1.47 
  170.436	 DELIVER	   131 	   1.66 	   12.3 	   34.9 	   58.6 	      0 
  172.107	 DELIVER	   132 	   2.04 	   10.4 	   34.9 	   58.6 	      0 
  173.199	 DELIVER	   133 	   1.23 	   11.2 	   34.9 	   58.6 	      0 
  173.247	 DELIVER	   134 	   2.98 	   9.11 	   34.9 	   58.6 	      0 
  174.503	 DELIVER	   135 	    2.1 	      7 	   34.9 	   58.6 	      0 
  175.913	 DELIVER	   136 	   1.66 	   6.84 	   34.9 	   58.6 	      0 
  180.016	 DELIVER	   137 	   2.25 	   10.5 	   34.9 	   58.6 	   0.12 
  180.897	 DELIVER	   138 	   1.45 	   9.22 	   34.9 	   58.6 	      0 
SUMMARY STATISTICS
SERVICE[ID[7]]:
 Time Ave. = 	  1.549 Time Sample Var. =	 0.5201
 Event Ave. =	  1.694 Event Sample Var. =	 0.5767
 Minimum =	 0.3714
 Maximum =	  2.984
SYSTEM[ID[7]]:
 Time Ave. = 	  11.89 Time Sample Var. =	   61.3
 Event Ave. =	  14.69 Event Sample Var. =	  70.58
 Minimum =	  5.525
 Maximum =	  67.46
RATIO[0]:
 Time Ave. = 	  16.02 Time Sample Var. =	  237.6
 Event Ave. =	  12.25 Event Sample Var. =	  184.9
 Minimum =	      0
 Maximum =	  34.87
RATIO[3]:
 Time Ave. = 	  27.86 Time Sample Var. =	  608.4
 Event Ave. =	  22.09 Event Sample Var. =	    450
 Minimum =	      0
 Maximum =	  58.56
WAIT[ID[7]]:
 Time Ave. = 	  2.356 Time Sample Var. =	  13.54
 Event Ave. =	  3.971 Event Sample Var. =	  17.05
 Minimum =	      0
 Maximum =	  13.26
