    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.302	 DELIVER	     1 	   1.34 	   6.45 	      0 	      0 	      0 
    7.825	 DELIVER	     2 	   1.34 	   1.37 	      0 	      0 	      0 
   18.729	 DELIVER	     3 	   2.71 	   9.47 	      0 	      0 	      0 
   21.825	 DELIVER	     4 	  0.717 	   7.89 	      0 	      0 	      0 
   23.467	 DELIVER	     5 	   2.67 	   6.08 	      0 	      0 	      0 
   23.897	 DELIVER	     6 	    1.3 	   4.55 	      0 	      0 	      0 
   27.103	 DELIVER	     7 	   1.43 	   4.47 	      0 	      0 	      0 
   30.681	 DELIVER	     8 	   2.81 	   7.84 	      0 	      0 	      0 
   35.074	 DELIVER	     9 	   1.29 	   9.46 	      0 	      0 	      0 
   35.104	 DELIVER	    10 	   2.51 	   9.32 	      0 	      0 	      0 
   36.013	 DELIVER	    11 	   1.46 	   7.97 	      0 	      0 	      0 
   36.716	 DELIVER	    12 	   1.92 	   6.71 	      0 	      0 	      0 
   40.863	 DELIVER	    13 	   2.99 	   9.06 	      0 	      0 	      0 
   41.952	 DELIVER	    14 	   2.19 	   8.63 	      0 	      0 	      0 
   42.367	 DELIVER	    15 	   2.08 	    8.8 	      0 	      0 	   1.22 
   44.574	 DELIVER	    16 	   1.29 	   6.06 	      0 	      0 	      0 
   45.852	 DELIVER	    17 	    2.1 	   7.39 	      0 	      0 	      0 
   49.376	 DELIVER	    18 	   2.42 	   8.27 	      0 	      0 	      0 
   50.893	 DELIVER	    19 	   1.15 	   5.24 	      0 	      0 	      0 
   52.427	 DELIVER	    20 	   1.68 	    7.2 	      0 	      0 	      0 
   54.153	 DELIVER	    21 	  0.608 	   4.47 	      0 	      0 	      0 
   58.617	 DELIVER	    22 	   2.53 	   8.18 	      0 	      0 	      0 
   59.176	 DELIVER	    23 	   2.63 	   6.77 	      0 	      0 	      0 
   60.828	 DELIVER	    24 	   1.23 	   6.41 	      0 	0.000381 	      0 
   61.639	 DELIVER	    25 	   2.83 	   6.39 	      0 	0.000381 	      0 
   64.004	 DELIVER	    26 	   2.87 	   7.85 	      0 	0.000381 	      0 
   65.767	 DELIVER	    27 	   1.44 	   9.61 	   1.88 	0.000381 	   1.91 
   67.768	 DELIVER	    28 	  0.668 	   11.6 	   1.88 	   7.24 	   2.86 
   67.998	 DELIVER	    29 	   1.74 	   8.78 	   1.88 	   7.24 	   0.47 
   68.464	 DELIVER	    30 	   1.74 	   59.7 	   1.88 	      8 	   0.47 
   68.480	 DELIVER	    31 	   2.39 	   8.96 	   1.88 	      8 	    1.9 
   72.187	 DELIVER	    32 	   2.39 	   12.7 	   1.88 	      8 	   2.86 
   72.492	 DELIVER	    33 	    1.8 	   12.8 	   1.88 	      8 	   4.13 
   73.121	 DELIVER	    34 	  0.376 	   13.1 	   1.88 	      8 	   4.77 
   76.720	 DELIVER	    35 	  0.889 	   16.3 	   1.88 	      8 	   4.76 
   78.862	 DELIVER	    36 	  0.793 	   17.5 	   1.88 	   8.99 	   4.27 
   79.369	 DELIVER	    37 	  0.884 	   17.7 	   1.88 	   8.99 	   4.37 
   79.629	 DELIVER	    38 	  0.828 	   17.8 	   1.88 	   8.99 	   4.55 
   84.030	 DELIVER	    39 	  0.744 	   21.3 	   1.88 	     10 	   4.22 
   84.076	 DELIVER	    40 	  0.849 	   20.8 	   1.88 	     10 	   3.98 
   84.596	 DELIVER	    41 	  0.861 	   21.2 	   1.88 	     10 	   4.24 
