    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    9.210	 DELIVER	     1 	   1.62 	   7.62 	      0 	      0 	      0 
    9.224	 DELIVER	     2 	   1.62 	    1.6 	      0 	      0 	      0 
   17.635	 DELIVER	     3 	   2.65 	   9.16 	      0 	      0 	      0 
   19.135	 DELIVER	     4 	  0.524 	   5.66 	      0 	      0 	      0 
   24.276	 DELIVER	     5 	   2.53 	   7.27 	      0 	      0 	      0 
   26.016	 DELIVER	     6 	   1.77 	   5.68 	      0 	      0 	      0 
   27.387	 DELIVER	     7 	  0.924 	   4.39 	      0 	      0 	      0 
   34.298	 DELIVER	     8 	   1.24 	   6.73 	      0 	      0 	      0 
   43.204	 DELIVER	     9 	   2.95 	   7.07 	      0 	      0 	      0 
   44.470	 DELIVER	    10 	   1.18 	   7.08 	      0 	      0 	      0 
   45.570	 DELIVER	    11 	   1.24 	   4.34 	      0 	      0 	      0 
   54.467	 DELIVER	    12 	   2.89 	   10.1 	      0 	      0 	      0 
   57.706	 DELIVER	    13 	    2.7 	   7.04 	      0 	      0 	      0 
   59.375	 DELIVER	    14 	   0.57 	   5.46 	      0 	      0 	      0 
   61.762	 DELIVER	    15 	   2.27 	   7.92 	      0 	      0 	      0 
   63.762	 DELIVER	    16 	   2.81 	   8.59 	      0 	      0 	      0 
   64.627	 DELIVER	    17 	   2.26 	   7.96 	      0 	      0 	      0 
   65.040	 DELIVER	    18 	   1.47 	   7.77 	      0 	      0 	  0.721 
   65.659	 DELIVER	    19 	   2.59 	   6.05 	      0 	      0 	      0 
   68.637	 DELIVER	    20 	   2.59 	   62.6 	      0 	      0 	      0 
   69.069	 DELIVER	    21 	   1.61 	   8.86 	      0 	      0 	   0.97 
   69.740	 DELIVER	    22 	   2.16 	   8.83 	      0 	      0 	   1.29 
   70.072	 DELIVER	    23 	   1.63 	   9.14 	      0 	      0 	   1.86 
   70.356	 DELIVER	    24 	   2.31 	   8.62 	      0 	      0 	   2.62 
   70.610	 DELIVER	    25 	   2.31 	     62 	      0 	      0 	   2.62 
   73.271	 DELIVER	    26 	   2.67 	    7.5 	      0 	      0 	      0 
   73.473	 DELIVER	    27 	   2.04 	    6.9 	      0 	      0 	 0.0973 
   76.472	 DELIVER	    28 	   1.14 	   6.38 	      0 	      0 	      0 
   77.321	 DELIVER	    29 	   2.92 	   8.27 	      0 	      0 	      0 
   77.797	 DELIVER	    30 	  0.513 	   6.18 	      0 	  0.238 	 0.0221 
   78.655	 DELIVER	    31 	  0.399 	    7.5 	      0 	  0.238 	 0.0885 
   81.185	 DELIVER	    32 	   2.53 	   7.17 	      0 	  0.238 	      0 
   81.196	 DELIVER	    33 	   2.53 	     74 	      0 	  0.238 	      0 
