    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    8.450	 DELIVER	     1 	   2.56 	   8.38 	      0 	      0 	      0 
   12.980	 DELIVER	     2 	   2.65 	   10.8 	      0 	      0 	      0 
   17.179	 DELIVER	     3 	   1.34 	   11.8 	      0 	      0 	      0 
   17.865	 DELIVER	     4 	   2.02 	   11.4 	      0 	      0 	      0 
   18.328	 DELIVER	     5 	   2.93 	   10.4 	      0 	      0 	      0 
   18.684	 DELIVER	     6 	    1.3 	    8.7 	      0 	      0 	      0 
   19.557	 DELIVER	     7 	   2.76 	   9.31 	      0 	      0 	  0.583 
   20.630	 DELIVER	     8 	   2.79 	   10.3 	      0 	      0 	  0.994 
   24.742	 DELIVER	     9 	   2.62 	     13 	      0 	      0 	    1.8 
   25.064	 DELIVER	    10 	   0.77 	   12.2 	      0 	      0 	   1.19 
   25.958	 DELIVER	    11 	  0.515 	   12.4 	      0 	      0 	   1.25 
   26.875	 DELIVER	    12 	   2.87 	   12.6 	      0 	      0 	   1.06 
   28.359	 DELIVER	    13 	   2.49 	   7.18 	      0 	      0 	      0 
   40.867	 DELIVER	    14 	   2.26 	   11.6 	      0 	      0 	      0 
   41.948	 DELIVER	    15 	   1.82 	   12.6 	      0 	      0 	      0 
   42.441	 DELIVER	    16 	   1.39 	   10.9 	      0 	      0 	      0 
   44.054	 DELIVER	    17 	   2.78 	   11.6 	      0 	      0 	      0 
   45.077	 DELIVER	    18 	   2.87 	     10 	      0 	      0 	      0 
   45.340	 DELIVER	    19 	   0.57 	    7.5 	      0 	      0 	      0 
   46.463	 DELIVER	    20 	    1.9 	   7.39 	      0 	      0 	      0 
   49.175	 DELIVER	    21 	   1.01 	   5.28 	      0 	      0 	      0 
   50.143	 DELIVER	    22 	   2.57 	   9.22 	      0 	      0 	      0 
   53.339	 DELIVER	    23 	  0.878 	   6.06 	      0 	      0 	      0 
   54.178	 DELIVER	    24 	  0.567 	   6.32 	      0 	      0 	  0.302 
   55.487	 DELIVER	    25 	   1.26 	   7.92 	      0 	      0 	      0 
   59.034	 DELIVER	    26 	   2.29 	   8.05 	      0 	      0 	      0 
   61.255	 DELIVER	    27 	   2.05 	   9.97 	      0 	      0 	      0 
   63.924	 DELIVER	    28 	   1.64 	   10.2 	      0 	      0 	      0 
   64.856	 DELIVER	    29 	   1.04 	   10.1 	      0 	      0 	      0 
   68.438	 DELIVER	    30 	   1.67 	   12.7 	      0 	   1.96 	      0 
   68.947	 DELIVER	    31 	    2.2 	   12.4 	      0 	   1.96 	      0 
   69.257	 DELIVER	    32 	  0.449 	   12.7 	      0 	   1.96 	  0.858 
   69.337	 DELIVER	    33 	   1.55 	   11.7 	      0 	   1.96 	  0.241 
   70.663	 DELIVER	    34 	  0.616 	   12.7 	      0 	   2.87 	  0.752 
   70.909	 DELIVER	    35 	   2.44 	   10.9 	      0 	   2.87 	      0 
   71.228	 DELIVER	    36 	   1.37 	     11 	      0 	   2.87 	      0 
   72.453	 DELIVER	    37 	   1.93 	   11.2 	 0.0222 	   2.87 	  0.378 
   72.564	 DELIVER	    38 	   2.37 	   10.9 	 0.0222 	   2.87 	  0.873 
   72.683	 DELIVER	    39 	   1.72 	     11 	 0.0222 	   2.87 	   1.89 
   72.762	 DELIVER	    40 	   1.68 	   9.71 	 0.0222 	   2.87 	   1.81 
