    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.961	 DELIVER	     1 	   2.53 	   7.96 	      0 	      0 	      0 
    8.966	 DELIVER	     2 	   1.47 	    5.9 	      0 	      0 	      0 
   11.889	 DELIVER	     3 	  0.967 	   7.16 	      0 	      0 	      0 
   12.765	 DELIVER	     4 	   2.36 	   7.51 	      0 	      0 	      0 
   18.123	 DELIVER	     5 	  0.853 	   4.75 	      0 	      0 	      0 
   18.532	 DELIVER	     6 	  0.415 	   4.24 	      0 	      0 	      0 
   19.476	 DELIVER	     7 	    2.5 	   6.43 	      0 	      0 	      0 
   20.319	 DELIVER	     8 	   1.71 	   5.96 	      0 	      0 	  0.355 
   26.370	 DELIVER	     9 	   1.54 	   7.51 	      0 	      0 	      0 
   27.882	 DELIVER	    10 	   2.31 	   7.21 	      0 	      0 	      0 
   28.781	 DELIVER	    11 	  0.941 	   6.53 	      0 	      0 	      0 
   31.114	 DELIVER	    12 	   2.93 	   8.07 	      0 	      0 	      0 
   33.401	 DELIVER	    13 	   2.79 	   9.92 	      0 	      0 	      0 
   33.564	 DELIVER	    14 	    2.5 	   9.19 	      0 	      0 	    1.6 
   34.068	 DELIVER	    15 	   2.18 	   8.46 	      0 	      0 	  0.662 
   37.893	 DELIVER	    16 	   1.25 	   6.47 	      0 	      0 	      0 
   39.821	 DELIVER	    17 	   1.81 	    7.4 	      0 	      0 	      0 
   40.713	 DELIVER	    18 	  0.444 	   6.77 	      0 	      0 	      0 
   41.143	 DELIVER	    19 	   2.35 	    6.4 	      0 	      0 	      0 
   50.932	 DELIVER	    20 	   2.92 	   8.62 	      0 	      0 	      0 
   54.719	 DELIVER	    21 	   2.06 	    9.6 	      0 	      0 	      0 
   59.865	 DELIVER	    22 	   1.86 	   5.98 	      0 	      0 	      0 
   61.289	 DELIVER	    23 	   1.31 	   5.29 	      0 	      0 	      0 
