    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   1.84 	   6.78 	      0 	      0 
    0.061	    ARR	     1 	   1.84 	  0.061 	      0 	      0 
    0.061	 TOPPING	     1 	  0.061 	  0.061 	      0 	      0 
    0.476	   COOK	     1 	  0.415 	  0.061 	      0 	      0 
    1.951	    ARR	     2 	  0.415 	  0.061 	      0 	      0 
    1.951	 TOPPING	     2 	  0.415 	  0.061 	      0 	      0 
    2.082	    ARR	     3 	  0.415 	  0.061 	      0 	      0 
    2.082	 TOPPING	     3 	  0.415 	  0.061 	      0 	      0 
    2.871	    ARR	     4 	  0.415 	  0.061 	      0 	      0 
    3.336	   COOK	     2 	  0.415 	  0.061 	      0 	      0 
    3.336	 TOPPING	     4 	  0.415 	  0.061 	      0 	      0 
    3.988	    ARR	     5 	  0.415 	  0.061 	      0 	      0 
    4.157	    ARR	     6 	  0.415 	  0.061 	      0 	      0 
    4.793	   COOK	     3 	  0.415 	  0.061 	      0 	      0 
    4.793	 TOPPING	     5 	  0.415 	  0.061 	      0 	      0 
    4.973	  READY	     1 	  0.415 	  0.061 	      0 	      0 
    4.973	 FINISH	     1 	  0.415 	  0.061 	      0 	      0 
    5.340	 DELIVER	     1 	  0.415 	   5.28 	      0 	      0 
    5.447	   COOK	     4 	  0.415 	   5.28 	      0 	      0 
    5.447	 TOPPING	     6 	  0.415 	   5.28 	      0 	      0 
    5.868	   COOK	     5 	  0.415 	   5.28 	      0 	      0 
    7.225	   COOK	     6 	  0.415 	   5.28 	      0 	      0 
    7.459	    ARR	     7 	  0.415 	   5.28 	      0 	      0 
    7.459	 TOPPING	     7 	  0.415 	   5.28 	      0 	      0 
    7.950	  READY	     2 	  0.415 	   5.28 	      0 	      0 
    7.950	 FINISH	     2 	  0.415 	   5.28 	      0 	      0 
    8.027	  READY	     3 	  0.415 	   5.28 	      0 	      0 
    8.027	 FINISH	     3 	  0.415 	   5.28 	      0 	      0 
    8.722	 DELIVER	     2 	   1.25 	   6.64 	      0 	      0 
    9.211	   COOK	     7 	   1.25 	   6.64 	      0 	      0 
    9.332	    ARR	     8 	   1.25 	   6.64 	      0 	      0 
    9.332	 TOPPING	     8 	   1.25 	   6.64 	      0 	      0 
    9.348	 DELIVER	     3 	   2.84 	    7.4 	      0 	      0 
    9.716	    ARR	     9 	   2.84 	    7.4 	      0 	      0 
    9.716	 TOPPING	     9 	   2.84 	    7.4 	      0 	      0 
   10.118	   COOK	     8 	   2.84 	    7.4 	      0 	      0 
   10.595	   COOK	     9 	   2.84 	    7.4 	      0 	      0 
   10.826	  READY	     4 	   2.84 	    7.4 	      0 	      0 
   10.826	 FINISH	     4 	   2.84 	    7.4 	      0 	      0 
   10.999	  READY	     5 	   2.84 	    7.4 	      0 	      0 
   10.999	 FINISH	     5 	   2.84 	    7.4 	      0 	      0 
   11.214	 DELIVER	     4 	   2.53 	   8.34 	      0 	      0 
   11.722	  READY	     6 	   2.53 	   8.34 	      0 	      0 
   11.722	 FINISH	     6 	   2.53 	   8.34 	      0 	      0 
   11.747	 DELIVER	     5 	  0.654 	   7.76 	      0 	      0 
   14.156	  READY	     7 	  0.654 	   7.76 	      0 	      0 
   14.156	 FINISH	     7 	  0.654 	   7.76 	      0 	      0 
   14.546	  READY	     8 	  0.654 	   7.76 	      0 	      0 
   14.714	  READY	     9 	  0.654 	   7.76 	      0 	      0 
   14.827	 DELIVER	     6 	   1.78 	   10.7 	      0 	      0 
   14.827	 FINISH	     8 	   1.78 	   10.7 	      0 	      0 
   15.017	 DELIVER	     7 	  0.402 	    5.3 	      0 	      0 
   15.017	 FINISH	     9 	  0.402 	    5.3 	      0 	      0 
   15.107	 DELIVER	     8 	  0.402 	   9.81 	      0 	      0 
   15.776	 DELIVER	     9 	   1.26 	   6.44 	      0 	      0 
   17.009	    ARR	    10 	   1.26 	   6.44 	      0 	      0 
   17.009	 TOPPING	    10 	   1.26 	   6.44 	      0 	      0 
   18.008	    ARR	    11 	   1.26 	   6.44 	      0 	      0 
   18.008	 TOPPING	    11 	   1.26 	   6.44 	      0 	      0 
   19.389	   COOK	    10 	   1.26 	   6.44 	      0 	      0 
   19.529	    ARR	    12 	   1.26 	   6.44 	      0 	      0 
   19.529	 TOPPING	    12 	   1.26 	   6.44 	      0 	      0 
   20.605	   COOK	    11 	   1.26 	   6.44 	      0 	      0 
   20.796	   COOK	    12 	   1.26 	   6.44 	      0 	      0 
   21.456	    ARR	    13 	   1.26 	   6.44 	      0 	      0 
   21.456	 TOPPING	    13 	   1.26 	   6.44 	      0 	      0 
   21.688	    ARR	    14 	   1.26 	   6.44 	      0 	      0 
   21.688	 TOPPING	    14 	   1.26 	   6.44 	      0 	      0 
   21.943	   COOK	    13 	   1.26 	   6.44 	      0 	      0 
   22.498	  READY	    10 	   1.26 	   6.44 	      0 	      0 
   22.498	 FINISH	    10 	   1.26 	   6.44 	      0 	      0 
   23.154	    ARR	    15 	   1.26 	   6.44 	      0 	      0 
   23.154	 TOPPING	    15 	   1.26 	   6.44 	      0 	      0 
   23.578	   COOK	    14 	   1.26 	   6.44 	      0 	      0 
   25.004	    ARR	    16 	   1.26 	   6.44 	      0 	      0 
   25.004	 TOPPING	    16 	   1.26 	   6.44 	      0 	      0 
   25.025	 DELIVER	    10 	   2.38 	   8.02 	      0 	      0 
   25.152	  READY	    11 	   2.38 	   8.02 	      0 	      0 
   25.152	 FINISH	    11 	   2.38 	   8.02 	      0 	      0 
   25.490	 DELIVER	    11 	   1.27 	   5.96 	      0 	      0 
