    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	  0.571 	   6.06 	      0 	      0 
    0.057	    ARR	     1 	  0.571 	 0.0569 	      0 	      0 
    0.057	 TOPPING	     1 	 0.0569 	 0.0569 	      0 	      0 
    1.479	    ARR	     2 	 0.0569 	 0.0569 	      0 	      0 
    1.479	 TOPPING	     2 	 0.0569 	 0.0569 	      0 	      0 
    1.836	   COOK	     1 	   1.78 	 0.0569 	      0 	      0 
    2.760	   COOK	     2 	   1.78 	 0.0569 	      0 	      0 
    5.051	  READY	     1 	   1.78 	 0.0569 	      0 	      0 
    5.051	 FINISH	     1 	   1.78 	 0.0569 	      0 	      0 
    5.163	    ARR	     3 	   1.78 	 0.0569 	      0 	      0 
    5.163	 TOPPING	     3 	   1.78 	 0.0569 	      0 	      0 
    5.163	 DELIVER	     1 	   1.78 	   5.11 	      0 	      0 
    6.183	    ARR	     4 	   1.78 	   5.11 	      0 	      0 
    6.183	 TOPPING	     4 	   1.78 	   5.11 	      0 	      0 
    6.701	  READY	     2 	   1.78 	   5.11 	      0 	      0 
    6.701	 FINISH	     2 	   1.78 	   5.11 	      0 	      0 
    7.339	   COOK	     3 	   1.78 	   5.11 	      0 	      0 
    7.740	    ARR	     5 	   1.78 	   5.11 	      0 	      0 
    7.740	 TOPPING	     5 	   1.78 	   5.11 	      0 	      0 
    7.966	    ARR	     6 	   1.78 	   5.11 	      0 	      0 
    8.388	   COOK	     4 	   1.78 	   5.11 	      0 	      0 
    8.388	 TOPPING	     6 	   1.78 	   5.11 	      0 	      0 
    8.857	 DELIVER	     2 	   1.28 	   7.38 	      0 	      0 
    9.045	   COOK	     5 	   1.28 	   7.38 	      0 	      0 
    9.867	   COOK	     6 	   1.28 	   7.38 	      0 	      0 
   10.715	  READY	     3 	   1.28 	   7.38 	      0 	      0 
   10.715	 FINISH	     3 	   1.28 	   7.38 	      0 	      0 
   11.088	 DELIVER	     3 	   2.18 	   5.93 	      0 	      0 
   12.622	    ARR	     7 	   2.18 	   5.93 	      0 	      0 
   12.622	 TOPPING	     7 	   2.18 	   5.93 	      0 	      0 
   13.919	  READY	     4 	   2.18 	   5.93 	      0 	      0 
   13.919	 FINISH	     4 	   2.18 	   5.93 	      0 	      0 
   14.549	  READY	     5 	   2.18 	   5.93 	      0 	      0 
   14.549	 FINISH	     5 	   2.18 	   5.93 	      0 	      0 
   14.625	 DELIVER	     4 	   1.48 	   6.66 	      0 	      0 
   14.900	  READY	     6 	   1.48 	   6.66 	      0 	      0 
   14.900	 FINISH	     6 	   1.48 	   6.66 	      0 	      0 
   15.604	   COOK	     7 	   1.48 	   6.66 	      0 	      0 
   15.670	 DELIVER	     5 	   2.86 	   9.49 	      0 	      0 
   15.682	 DELIVER	     6 	  0.649 	   7.94 	      0 	      0 
   17.048	    ARR	     8 	  0.649 	   7.94 	      0 	      0 
   17.048	 TOPPING	     8 	  0.649 	   7.94 	      0 	      0 
   17.923	   COOK	     8 	  0.649 	   7.94 	      0 	      0 
   18.048	    ARR	     9 	  0.649 	   7.94 	      0 	      0 
   18.048	 TOPPING	     9 	  0.649 	   7.94 	      0 	      0 
   18.254	    ARR	    10 	  0.649 	   7.94 	      0 	      0 
   18.254	 TOPPING	    10 	  0.649 	   7.94 	      0 	      0 
   18.501	    ARR	    11 	  0.649 	   7.94 	      0 	      0 
   18.812	    ARR	    12 	  0.649 	   7.94 	      0 	      0 
   19.711	    ARR	    13 	  0.649 	   7.94 	      0 	      0 
   19.724	   COOK	     9 	  0.649 	   7.94 	      0 	      0 
   19.724	 TOPPING	    11 	  0.649 	   7.94 	      0 	      0 
   20.294	   COOK	    10 	  0.649 	   7.94 	      0 	      0 
   20.294	 TOPPING	    12 	  0.649 	   7.94 	      0 	      0 
   20.514	   COOK	    11 	  0.649 	   7.94 	      0 	      0 
   20.514	 TOPPING	    13 	  0.649 	   7.94 	      0 	      0 
   20.660	  READY	     7 	  0.649 	   7.94 	      0 	      0 
   20.660	 FINISH	     7 	  0.649 	   7.94 	      0 	      0 
   21.433	 DELIVER	     7 	   2.98 	   8.81 	      0 	      0 
   21.500	  READY	     8 	   2.98 	   8.81 	      0 	      0 
   21.500	 FINISH	     8 	   2.98 	   8.81 	      0 	      0 
   21.736	    ARR	    14 	   2.98 	   8.81 	      0 	      0 
   22.254	   COOK	    12 	   2.98 	   8.81 	      0 	      0 
   22.254	 TOPPING	    14 	   2.98 	   8.81 	      0 	      0 
   22.433	    ARR	    15 	   2.98 	   8.81 	      0 	      0 
   22.751	   COOK	    13 	   2.98 	   8.81 	      0 	      0 
   22.751	 TOPPING	    15 	   2.98 	   8.81 	      0 	      0 
   22.990	 DELIVER	     8 	  0.875 	   5.94 	      0 	      0 
   23.571	  READY	     9 	  0.875 	   5.94 	      0 	      0 
   23.571	 FINISH	     9 	  0.875 	   5.94 	      0 	      0 
   23.600	   COOK	    14 	  0.875 	   5.94 	      0 	      0 
   23.608	 DELIVER	     9 	   2.47 	   5.56 	      0 	      0 
   23.960	  READY	    10 	   2.47 	   5.56 	      0 	      0 
   23.960	 FINISH	    10 	   2.47 	   5.56 	      0 	      0 
   24.144	 DELIVER	    10 	   1.47 	   5.89 	      0 	      0 
   24.955	   COOK	    15 	   1.47 	   5.89 	      0 	      0 
   25.948	  READY	    11 	   1.47 	   5.89 	      0 	      0 
   25.948	 FINISH	    11 	   1.47 	   5.89 	      0 	      0 
   26.133	 DELIVER	    11 	  0.569 	   7.63 	      0 	      0 
   26.197	  READY	    12 	  0.569 	   7.63 	      0 	      0 
   26.197	 FINISH	    12 	  0.569 	   7.63 	      0 	      0 
   26.368	 DELIVER	    12 	   2.24 	   6.66 	      0 	      0 
   26.725	  READY	    13 	   2.24 	   6.66 	      0 	      0 
   26.725	 FINISH	    13 	   2.24 	   6.66 	      0 	      0 
   26.776	 DELIVER	    13 	   1.96 	   7.96 	      0 	      0 
   27.302	    ARR	    16 	   1.96 	   7.96 	      0 	      0 
   27.302	 TOPPING	    16 	   1.96 	   7.96 	      0 	      0 
   27.519	    ARR	    17 	   1.96 	   7.96 	      0 	      0 
   27.519	 TOPPING	    17 	   1.96 	   7.96 	      0 	      0 
   27.759	    ARR	    18 	   1.96 	   7.96 	      0 	      0 
   28.194	   COOK	    16 	   1.96 	   7.96 	      0 	      0 
   28.194	 TOPPING	    18 	   1.96 	   7.96 	      0 	      0 
   28.687	  READY	    14 	   1.96 	   7.96 	      0 	      0 
   28.687	 FINISH	    14 	   1.96 	   7.96 	      0 	      0 
   29.492	  READY	    15 	   1.96 	   7.96 	      0 	      0 
   29.492	 FINISH	    15 	   1.96 	   7.96 	      0 	      0 
   29.699	 DELIVER	    14 	    2.2 	   7.27 	      0 	      0 
   30.199	   COOK	    17 	    2.2 	   7.27 	      0 	      0 
   30.244	    ARR	    19 	    2.2 	   7.27 	      0 	      0 
   30.244	 TOPPING	    19 	    2.2 	   7.27 	      0 	      0 
   30.270	    ARR	    20 	    2.2 	   7.27 	      0 	      0 
   30.367	   COOK	    18 	    2.2 	   7.27 	      0 	      0 
   30.367	 TOPPING	    20 	    2.2 	   7.27 	      0 	      0 
   31.476	 DELIVER	    15 	   1.35 	   9.74 	      0 	      0 
   31.722	   COOK	    19 	   1.35 	   9.74 	      0 	      0 
   32.546	   COOK	    20 	   1.35 	   9.74 	      0 	      0 
   33.081	  READY	    16 	   1.35 	   9.74 	      0 	      0 
   33.081	 FINISH	    16 	   1.35 	   9.74 	      0 	      0 
   33.486	  READY	    17 	   1.35 	   9.74 	      0 	      0 
   33.486	 FINISH	    17 	   1.35 	   9.74 	      0 	      0 
   33.511	 DELIVER	    16 	   2.68 	   5.99 	      0 	      0 
   33.853	 DELIVER	    17 	  0.892 	   6.55 	      0 	      0 
   35.912	  READY	    18 	  0.892 	   6.55 	      0 	      0 
   35.912	 FINISH	    18 	  0.892 	   6.55 	      0 	      0 
   36.060	    ARR	    21 	  0.892 	   6.55 	      0 	      0 
   36.060	 TOPPING	    21 	  0.892 	   6.55 	      0 	      0 
   36.297	    ARR	    22 	  0.892 	   6.55 	      0 	      0 
   36.297	 TOPPING	    22 	  0.892 	   6.55 	      0 	      0 
   36.557	  READY	    19 	  0.892 	   6.55 	      0 	      0 
   36.557	 FINISH	    19 	  0.892 	   6.55 	      0 	      0 
   36.949	   COOK	    21 	  0.892 	   6.55 	      0 	      0 
   37.223	    ARR	    23 	  0.892 	   6.55 	      0 	      0 
   37.223	 TOPPING	    23 	  0.892 	   6.55 	      0 	      0 
   37.328	   COOK	    22 	  0.892 	   6.55 	      0 	      0 
   37.474	    ARR	    24 	  0.892 	   6.55 	      0 	      0 
   37.474	 TOPPING	    24 	  0.892 	   6.55 	      0 	      0 
   37.556	 DELIVER	    18 	   1.48 	   7.31 	      0 	      0 
   37.572	 DELIVER	    19 	   2.17 	   9.81 	      0 	      0 
   37.925	   COOK	    23 	   2.17 	   9.81 	      0 	      0 
   38.146	  READY	    20 	   2.17 	   9.81 	      0 	      0 
   38.146	 FINISH	    20 	   2.17 	   9.81 	      0 	      0 
   38.900	 DELIVER	    20 	   2.18 	   8.63 	      0 	      0 
   39.557	   COOK	    24 	   2.18 	   8.63 	      0 	      0 
   41.446	  READY	    21 	   2.18 	   8.63 	      0 	      0 
   41.446	 FINISH	    21 	   2.18 	   8.63 	      0 	      0 
   41.532	 DELIVER	    21 	  0.889 	   5.47 	      0 	      0 
   41.980	  READY	    22 	  0.889 	   5.47 	      0 	      0 
   41.980	 FINISH	    22 	  0.889 	   5.47 	      0 	      0 
   42.018	    ARR	    25 	  0.889 	   5.47 	      0 	      0 
   42.018	 TOPPING	    25 	  0.889 	   5.47 	      0 	      0 
   42.216	 DELIVER	    22 	   1.03 	   5.92 	      0 	      0 
   42.700	    ARR	    26 	   1.03 	   5.92 	      0 	      0 
   42.700	 TOPPING	    26 	   1.03 	   5.92 	      0 	      0 
   42.932	  READY	    23 	   1.03 	   5.92 	      0 	      0 
   42.932	 FINISH	    23 	   1.03 	   5.92 	      0 	      0 
   43.088	 DELIVER	    23 	  0.702 	   5.86 	      0 	      0 
   43.918	   COOK	    25 	  0.702 	   5.86 	      0 	      0 
   44.444	  READY	    24 	  0.702 	   5.86 	      0 	      0 
   44.444	 FINISH	    24 	  0.702 	   5.86 	      0 	      0 
   44.684	 DELIVER	    24 	   2.08 	   7.21 	      0 	      0 
   44.991	   COOK	    26 	   2.08 	   7.21 	      0 	      0 
   45.181	    ARR	    27 	   2.08 	   7.21 	      0 	      0 
   45.181	 TOPPING	    27 	   2.08 	   7.21 	      0 	      0 
   47.238	    ARR	    28 	   2.08 	   7.21 	      0 	      0 
   47.238	 TOPPING	    28 	   2.08 	   7.21 	      0 	      0 
   47.842	  READY	    25 	   2.08 	   7.21 	      0 	      0 
