    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   2.18 	   8.62 	      0 	      0 
    0.035	    ARR	     1 	   2.18 	 0.0351 	      0 	      0 
    0.035	 TOPPING	     1 	 0.0351 	 0.0351 	      0 	      0 
    0.794	   COOK	     1 	  0.759 	 0.0351 	      0 	      0 
    5.295	  READY	     1 	  0.759 	 0.0351 	      0 	      0 
    5.295	 FINISH	     1 	  0.759 	 0.0351 	      0 	      0 
    5.354	 DELIVER	     1 	  0.759 	   5.32 	      0 	      0 
    6.552	    ARR	     2 	  0.759 	   5.32 	      0 	      0 
    6.552	 TOPPING	     2 	  0.759 	   5.32 	      0 	      0 
    6.607	    ARR	     3 	  0.759 	   5.32 	      0 	      0 
    6.607	 TOPPING	     3 	  0.759 	   5.32 	      0 	      0 
    7.507	   COOK	     2 	  0.759 	   5.32 	      0 	      0 
    7.727	    ARR	     4 	  0.759 	   5.32 	      0 	      0 
    7.727	 TOPPING	     4 	  0.759 	   5.32 	      0 	      0 
    8.211	   COOK	     3 	  0.759 	   5.32 	      0 	      0 
    8.758	   COOK	     4 	  0.759 	   5.32 	      0 	      0 
   10.753	  READY	     2 	  0.759 	   5.32 	      0 	      0 
   10.753	 FINISH	     2 	  0.759 	   5.32 	      0 	      0 
   11.146	    ARR	     5 	  0.759 	   5.32 	      0 	      0 
   11.146	 TOPPING	     5 	  0.759 	   5.32 	      0 	      0 
   12.192	 DELIVER	     2 	  0.955 	   5.64 	      0 	      0 
   12.341	    ARR	     6 	  0.955 	   5.64 	      0 	      0 
   12.341	 TOPPING	     6 	  0.955 	   5.64 	      0 	      0 
   13.030	   COOK	     5 	  0.955 	   5.64 	      0 	      0 
   13.163	  READY	     3 	  0.955 	   5.64 	      0 	      0 
   13.163	 FINISH	     3 	  0.955 	   5.64 	      0 	      0 
   13.376	   COOK	     6 	  0.955 	   5.64 	      0 	      0 
   13.435	 DELIVER	     3 	  0.484 	   5.71 	      0 	      0 
   13.938	  READY	     4 	  0.484 	   5.71 	      0 	      0 
   13.938	 FINISH	     4 	  0.484 	   5.71 	      0 	      0 
   16.248	  READY	     5 	  0.484 	   5.71 	      0 	      0 
   16.248	 FINISH	     5 	  0.484 	   5.71 	      0 	      0 
   16.623	 DELIVER	     4 	   1.88 	   5.48 	      0 	      0 
   17.435	 DELIVER	     5 	   2.15 	   10.8 	      0 	      0 
   18.417	    ARR	     7 	   2.15 	   10.8 	      0 	      0 
   18.417	 TOPPING	     7 	   2.15 	   10.8 	      0 	      0 
   19.007	  READY	     6 	   2.15 	   10.8 	      0 	      0 
   19.007	 FINISH	     6 	   2.15 	   10.8 	      0 	      0 
   20.409	 DELIVER	     6 	   1.04 	   8.07 	      0 	      0 
   20.735	   COOK	     7 	   1.04 	   8.07 	      0 	      0 
   22.885	    ARR	     8 	   1.04 	   8.07 	      0 	      0 
   22.885	 TOPPING	     8 	   1.04 	   8.07 	      0 	      0 
   23.526	    ARR	     9 	   1.04 	   8.07 	      0 	      0 
   23.526	 TOPPING	     9 	   1.04 	   8.07 	      0 	      0 
   24.449	   COOK	     8 	   1.04 	   8.07 	      0 	      0 
   25.595	  READY	     7 	   1.04 	   8.07 	      0 	      0 
   25.595	 FINISH	     7 	   1.04 	   8.07 	      0 	      0 
   25.751	   COOK	     9 	   1.04 	   8.07 	      0 	      0 
   26.651	 DELIVER	     7 	   2.32 	   8.23 	      0 	      0 
   29.887	  READY	     8 	   2.32 	   8.23 	      0 	      0 
   29.887	 FINISH	     8 	   2.32 	   8.23 	      0 	      0 
   30.165	  READY	     9 	   2.32 	   8.23 	      0 	      0 
   30.165	 FINISH	     9 	   2.32 	   8.23 	      0 	      0 
   30.786	 DELIVER	     8 	  0.923 	   7.26 	      0 	      0 
   31.777	 DELIVER	     9 	   2.87 	   8.89 	      0 	      0 
   35.833	    ARR	    10 	   2.87 	   8.89 	      0 	      0 
   35.833	 TOPPING	    10 	   2.87 	   8.89 	      0 	      0 
   36.095	    ARR	    11 	   2.87 	   8.89 	      0 	      0 
   36.095	 TOPPING	    11 	   2.87 	   8.89 	      0 	      0 
   36.357	   COOK	    10 	   2.87 	   8.89 	      0 	      0 
   37.064	   COOK	    11 	   2.87 	   8.89 	      0 	      0 
   37.501	    ARR	    12 	   2.87 	   8.89 	      0 	      0 
   37.501	 TOPPING	    12 	   2.87 	   8.89 	      0 	      0 
   40.103	    ARR	    13 	   2.87 	   8.89 	      0 	      0 
   40.103	 TOPPING	    13 	   2.87 	   8.89 	      0 	      0 
   40.291	   COOK	    12 	   2.87 	   8.89 	      0 	      0 
   40.705	    ARR	    14 	   2.87 	   8.89 	      0 	      0 
   40.705	 TOPPING	    14 	   2.87 	   8.89 	      0 	      0 
   40.907	    ARR	    15 	   2.87 	   8.89 	      0 	      0 
   40.912	   COOK	    13 	   2.87 	   8.89 	      0 	      0 
   40.912	 TOPPING	    15 	   2.87 	   8.89 	      0 	      0 
   41.286	  READY	    10 	   2.87 	   8.89 	      0 	      0 
   41.286	 FINISH	    10 	   2.87 	   8.89 	      0 	      0 
   41.292	    ARR	    16 	   2.87 	   8.89 	      0 	      0 
   41.407	   COOK	    14 	   2.87 	   8.89 	      0 	      0 
   41.407	 TOPPING	    16 	   2.87 	   8.89 	      0 	      0 
   42.451	 DELIVER	    10 	  0.525 	   6.62 	      0 	      0 
   42.948	  READY	    11 	  0.525 	   6.62 	      0 	      0 
   42.948	 FINISH	    11 	  0.525 	   6.62 	      0 	      0 
   43.025	 DELIVER	    11 	  0.969 	   6.93 	      0 	      0 
   43.159	   COOK	    15 	  0.969 	   6.93 	      0 	      0 
   44.060	   COOK	    16 	  0.969 	   6.93 	      0 	      0 
   44.433	    ARR	    17 	  0.969 	   6.93 	      0 	      0 
   44.433	 TOPPING	    17 	  0.969 	   6.93 	      0 	      0 
   44.574	  READY	    12 	  0.969 	   6.93 	      0 	      0 
   44.574	 FINISH	    12 	  0.969 	   6.93 	      0 	      0 
   44.847	  READY	    13 	  0.969 	   6.93 	      0 	      0 
   44.847	 FINISH	    13 	  0.969 	   6.93 	      0 	      0 
   44.969	   COOK	    17 	  0.969 	   6.93 	      0 	      0 
   45.355	  READY	    14 	  0.969 	   6.93 	      0 	      0 
   45.410	 DELIVER	    12 	  0.496 	    4.5 	      0 	      0 
   45.410	 FINISH	    14 	  0.496 	    4.5 	      0 	      0 
   45.471	 DELIVER	    13 	  0.809 	   5.37 	      0 	      0 
   45.804	 DELIVER	    14 	   2.79 	    8.3 	      0 	      0 
   46.479	  READY	    15 	   2.79 	    8.3 	      0 	      0 
   46.479	 FINISH	    15 	   2.79 	    8.3 	      0 	      0 
   46.660	    ARR	    18 	   2.79 	    8.3 	      0 	      0 
   46.660	 TOPPING	    18 	   2.79 	    8.3 	      0 	      0 
   47.305	 DELIVER	    15 	   2.45 	    6.6 	      0 	      0 
   48.494	  READY	    16 	   2.45 	    6.6 	      0 	      0 
   48.494	 FINISH	    16 	   2.45 	    6.6 	      0 	      0 
   49.331	 DELIVER	    16 	   2.65 	   8.04 	      0 	      0 
   49.389	   COOK	    18 	   2.65 	   8.04 	      0 	      0 
   49.579	    ARR	    19 	   2.65 	   8.04 	      0 	      0 
   49.579	 TOPPING	    19 	   2.65 	   8.04 	      0 	      0 
   50.185	   COOK	    19 	   2.65 	   8.04 	      0 	      0 
   50.610	  READY	    17 	   2.65 	   8.04 	      0 	      0 
   50.610	 FINISH	    17 	   2.65 	   8.04 	      0 	      0 
   51.775	 DELIVER	    17 	  0.536 	   7.34 	      0 	      0 
   52.418	  READY	    18 	  0.536 	   7.34 	      0 	      0 
   52.418	 FINISH	    18 	  0.536 	   7.34 	      0 	      0 
   53.657	 DELIVER	    18 	   2.73 	      7 	      0 	      0 
