    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	          RATIO[3] 
    0.000	   INIT	     1 	   2.56 	   7.93 	      0 	      0 
    0.039	    ARR	     1 	   2.56 	 0.0389 	      0 	      0 
    0.039	 TOPPING	     1 	 0.0389 	 0.0389 	      0 	      0 
    1.176	   COOK	     1 	   1.14 	 0.0389 	      0 	      0 
    6.303	    ARR	     2 	   1.14 	 0.0389 	      0 	      0 
    6.303	 TOPPING	     2 	   1.14 	 0.0389 	      0 	      0 
    6.354	  READY	     1 	   1.14 	 0.0389 	      0 	      0 
    6.354	 FINISH	     1 	   1.14 	 0.0389 	      0 	      0 
    6.678	 DELIVER	     1 	   1.14 	   6.64 	      0 	      0 
    7.820	   COOK	     2 	   1.14 	   6.64 	      0 	      0 
    9.022	    ARR	     3 	   1.14 	   6.64 	      0 	      0 
    9.022	 TOPPING	     3 	   1.14 	   6.64 	      0 	      0 
   11.989	   COOK	     3 	   1.14 	   6.64 	      0 	      0 
   13.041	    ARR	     4 	   1.14 	   6.64 	      0 	      0 
   13.041	 TOPPING	     4 	   1.14 	   6.64 	      0 	      0 
   13.613	  READY	     2 	   1.14 	   6.64 	      0 	      0 
   13.613	 FINISH	     2 	   1.14 	   6.64 	      0 	      0 
   13.839	 DELIVER	     2 	   1.52 	   7.54 	      0 	      0 
   13.911	   COOK	     4 	   1.52 	   7.54 	      0 	      0 
   15.593	    ARR	     5 	   1.52 	   7.54 	      0 	      0 
   15.593	 TOPPING	     5 	   1.52 	   7.54 	      0 	      0 
   15.802	    ARR	     6 	   1.52 	   7.54 	      0 	      0 
   15.802	 TOPPING	     6 	   1.52 	   7.54 	      0 	      0 
   15.865	  READY	     3 	   1.52 	   7.54 	      0 	      0 
   15.865	 FINISH	     3 	   1.52 	   7.54 	      0 	      0 
   16.091	 DELIVER	     3 	   2.97 	   7.07 	      0 	      0 
   16.125	   COOK	     5 	   2.97 	   7.07 	      0 	      0 
   16.236	   COOK	     6 	   2.97 	   7.07 	      0 	      0 
   18.732	  READY	     4 	   2.97 	   7.07 	      0 	      0 
   18.732	 FINISH	     4 	   2.97 	   7.07 	      0 	      0 
   18.746	 DELIVER	     4 	   0.87 	   5.71 	      0 	      0 
   19.601	  READY	     5 	   0.87 	   5.71 	      0 	      0 
   19.601	 FINISH	     5 	   0.87 	   5.71 	      0 	      0 
   20.053	    ARR	     7 	   0.87 	   5.71 	      0 	      0 
   20.053	 TOPPING	     7 	   0.87 	   5.71 	      0 	      0 
   20.365	 DELIVER	     5 	  0.434 	   4.56 	      0 	      0 
   21.226	  READY	     6 	  0.434 	   4.56 	      0 	      0 
   21.226	 FINISH	     6 	  0.434 	   4.56 	      0 	      0 
   22.019	   COOK	     7 	  0.434 	   4.56 	      0 	      0 
   22.707	 DELIVER	     6 	  0.532 	   7.11 	      0 	      0 
   23.997	    ARR	     8 	  0.532 	   7.11 	      0 	      0 
   23.997	 TOPPING	     8 	  0.532 	   7.11 	      0 	      0 
   26.121	   COOK	     8 	  0.532 	   7.11 	      0 	      0 
