    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    6.305	 DELIVER	     1 	   1.02 	   6.26 	      0 	      0 	      0 
   15.288	 DELIVER	     2 	   2.62 	   7.48 	      0 	      0 	      0 
   15.631	 DELIVER	     3 	  0.923 	   4.85 	      0 	      0 	      0 
   16.362	 DELIVER	     4 	   2.74 	   7.96 	      0 	      0 	      0 
   24.516	 DELIVER	     5 	    2.1 	   9.22 	      0 	      0 	      0 
   24.967	 DELIVER	     6 	   2.83 	   10.9 	      0 	      0 	      0 
   25.623	 DELIVER	     7 	  0.624 	   6.96 	      0 	      0 	      0 
   26.307	 DELIVER	     8 	      3 	   9.01 	      0 	      0 	      0 
   27.189	 DELIVER	     9 	   2.51 	   7.08 	      0 	      0 	      0 
   31.774	 DELIVER	    10 	   1.34 	   9.63 	      0 	      0 	      0 
   51.439	 DELIVER	    11 	  0.701 	   4.46 	      0 	      0 	      0 
   54.248	 DELIVER	    12 	   2.68 	   8.37 	      0 	      0 	      0 
   54.664	 DELIVER	    13 	   1.48 	   5.64 	      0 	      0 	      0 
   55.585	 DELIVER	    14 	   1.95 	    7.7 	      0 	      0 	      0 
   56.716	 DELIVER	    15 	   1.06 	   5.57 	      0 	      0 	      0 
   56.858	 DELIVER	    16 	   2.14 	   6.03 	      0 	      0 	      0 
   58.872	 DELIVER	    17 	   1.42 	   7.72 	      0 	      0 	   1.05 
   60.437	 DELIVER	    18 	   1.32 	   7.05 	      0 	      0 	      0 
   62.279	 DELIVER	    19 	  0.858 	    5.2 	      0 	      0 	  0.608 
   62.971	 DELIVER	    20 	    1.4 	   6.24 	      0 	  0.439 	      0 
   63.791	 DELIVER	    21 	    1.4 	   6.58 	      0 	  0.439 	  0.917 
   64.796	 DELIVER	    22 	   1.52 	   6.77 	      0 	  0.439 	  0.521 
   64.990	 DELIVER	    23 	   1.91 	   9.21 	      0 	  0.439 	      0 
   67.584	 DELIVER	    24 	   2.22 	   6.95 	  0.306 	  0.439 	      0 
   68.013	 DELIVER	    25 	    1.4 	   6.06 	  0.306 	  0.439 	  0.907 
   71.490	 DELIVER	    26 	   2.18 	   10.8 	   1.27 	  0.439 	      0 
   72.273	 DELIVER	    27 	   1.77 	   10.2 	   1.27 	  0.439 	   2.21 
   72.306	 DELIVER	    28 	   1.77 	   62.1 	   1.27 	  0.439 	   2.21 
   73.107	 DELIVER	    29 	  0.443 	   10.7 	   1.27 	  0.439 	   3.03 
   73.232	 DELIVER	    30 	   1.93 	    9.9 	   1.27 	  0.439 	    2.7 
   73.626	 DELIVER	    31 	  0.962 	   11.1 	   1.27 	  0.439 	   3.31 
   73.925	 DELIVER	    32 	   1.59 	   10.5 	   1.27 	  0.439 	   3.47 
   74.593	 DELIVER	    33 	   2.98 	   10.8 	   1.27 	  0.439 	   4.68 
   77.468	 DELIVER	    34 	   2.73 	   13.7 	   1.27 	  0.439 	   4.21 
   78.591	 DELIVER	    35 	   1.83 	   13.9 	   1.27 	  0.439 	   5.95 
   79.288	 DELIVER	    36 	   1.42 	   12.7 	   1.27 	  0.439 	   5.98 
   79.448	 DELIVER	    37 	   2.46 	   14.3 	   1.27 	  0.439 	   6.29 
