    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    8.400	 DELIVER	     1 	   1.72 	   6.72 	      0 	      0 	      0 
    8.559	 DELIVER	     2 	   1.94 	   7.13 	      0 	      0 	      0 
    8.589	 DELIVER	     3 	  0.812 	   8.57 	      0 	      0 	      0 
   12.253	 DELIVER	     4 	   2.13 	   10.4 	      0 	      0 	   1.54 
   13.731	 DELIVER	     5 	    1.2 	   8.39 	      0 	      0 	  0.121 
   14.128	 DELIVER	     6 	   1.47 	   10.1 	      0 	      0 	      0 
   16.573	 DELIVER	     7 	   1.05 	   5.13 	      0 	      0 	  0.459 
   16.813	 DELIVER	     8 	   1.02 	   5.93 	      0 	      0 	      0 
   17.425	 DELIVER	     9 	   2.82 	    7.3 	      0 	      0 	      0 
   20.366	 DELIVER	    10 	   0.49 	   6.65 	      0 	      0 	      0 
   22.117	 DELIVER	    11 	   1.94 	   6.37 	      0 	      0 	      0 
   27.621	 DELIVER	    12 	   1.72 	   7.98 	      0 	      0 	      0 
   27.816	 DELIVER	    13 	   2.82 	   6.46 	      0 	      0 	      0 
   30.367	 DELIVER	    14 	  0.665 	   5.44 	      0 	      0 	      0 
   35.653	 DELIVER	    15 	   2.07 	   6.14 	      0 	      0 	      0 
   37.380	 DELIVER	    16 	   1.52 	   7.34 	      0 	      0 	      0 
   38.504	 DELIVER	    17 	   1.27 	   5.22 	      0 	      0 	      0 
   38.834	 DELIVER	    18 	    2.7 	    6.9 	      0 	      0 	      0 
   44.810	 DELIVER	    19 	   2.21 	   7.25 	      0 	      0 	      0 
   47.751	 DELIVER	    20 	   0.37 	   4.76 	      0 	      0 	      0 
   53.726	 DELIVER	    21 	  0.464 	   5.42 	      0 	      0 	      0 
   54.750	 DELIVER	    22 	   1.54 	   8.39 	      0 	      0 	      0 
   61.155	 DELIVER	    23 	  0.845 	   5.15 	      0 	  0.399 	      0 
   64.771	 DELIVER	    24 	   1.55 	   6.99 	      0 	  0.399 	      0 
   65.185	 DELIVER	    25 	   1.73 	   7.72 	      0 	  0.399 	      0 
   67.324	 DELIVER	    26 	    1.3 	   9.17 	   0.63 	  0.399 	   1.19 
   68.539	 DELIVER	    27 	   0.92 	   10.5 	   0.63 	  0.399 	   1.19 
   68.621	 DELIVER	    28 	   2.28 	   9.97 	   0.63 	  0.399 	   1.46 
   69.187	 DELIVER	    29 	    2.3 	   9.37 	   0.63 	  0.399 	   2.29 
