    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    6.142	 DELIVER	     1 	   1.38 	   5.83 	      0 	      0 	      0 
    7.059	 DELIVER	     2 	   1.47 	   7.02 	      0 	      0 	      0 
    7.100	 DELIVER	     3 	  0.476 	   4.84 	      0 	      0 	      0 
   12.704	 DELIVER	     4 	   1.56 	    9.3 	      0 	      0 	      0 
   13.529	 DELIVER	     5 	   2.24 	   7.68 	      0 	      0 	      0 
   15.275	 DELIVER	     6 	   2.78 	   9.21 	      0 	      0 	      0 
   16.716	 DELIVER	     7 	   2.64 	   9.96 	      0 	      0 	   1.33 
   20.892	 DELIVER	     8 	   2.44 	   6.47 	      0 	      0 	      0 
   21.672	 DELIVER	     9 	    1.1 	   5.21 	      0 	      0 	  0.405 
   22.003	 DELIVER	    10 	   1.35 	   7.25 	      0 	      0 	      0 
   24.165	 DELIVER	    11 	   1.06 	   8.83 	      0 	      0 	  0.761 
   24.970	 DELIVER	    12 	   2.18 	   7.68 	      0 	      0 	      0 
   26.762	 DELIVER	    13 	   1.63 	   6.78 	      0 	      0 	      0 
   27.134	 DELIVER	    14 	    2.6 	   8.97 	      0 	      0 	      0 
   27.594	 DELIVER	    15 	   1.15 	   6.99 	      0 	      0 	  0.162 
   30.420	 DELIVER	    16 	  0.386 	   8.99 	      0 	      0 	  0.183 
   31.922	 DELIVER	    17 	   1.96 	   9.25 	      0 	      0 	      0 
   35.221	 DELIVER	    18 	   1.43 	   7.89 	      0 	      0 	      0 
   36.245	 DELIVER	    19 	  0.495 	   7.33 	      0 	      0 	      0 
   41.469	 DELIVER	    20 	   1.98 	   5.95 	      0 	      0 	  0.563 
   42.254	 DELIVER	    21 	   2.95 	   9.12 	      0 	      0 	      0 
   43.483	 DELIVER	    22 	   1.84 	   9.23 	      0 	      0 	      0 
   44.568	 DELIVER	    23 	   1.64 	   8.73 	      0 	      0 	  0.258 
   44.791	 DELIVER	    24 	   1.19 	   7.36 	      0 	      0 	  0.632 
   45.861	 DELIVER	    25 	   1.55 	   9.67 	      0 	      0 	   1.54 
   51.100	 DELIVER	    26 	   2.98 	   8.95 	      0 	      0 	      0 
   51.706	 DELIVER	    27 	    1.2 	   8.39 	      0 	      0 	      0 
   52.928	 DELIVER	    28 	    1.6 	   6.17 	      0 	      0 	      0 
